PK,BARRIO
5605,PUERTA DEL ANGEL
6269,UNIVERSIDAD
5606,PALOMERAS BAJAS
6270,RIOS ROSAS
5612,ALMAGRO
6058,ORCASUR
5620,ARAVACA
5617,PUEBLO NUEVO
5418,HISPANOAMERICA
6059,CASCO H.VALLECAS
22542,PALOMERAS BAJAS
5623,SAN PASCUAL
5624,ALMENDRALES
5627,VALDEMARIN
6533,CIUDAD UNIVERSITARIA
10297377,CIUDAD UNIVERSITARIA
10297407,VALLEHERMOSO
6507,CIUDAD UNIVERSITARIA
6548,CIUDAD UNIVERSITARIA
10297432,CIUDAD UNIVERSITARIA
10297437,CIUDAD UNIVERSITARIA
10297474,CIUDAD UNIVERSITARIA
10297556,CIUDAD UNIVERSITARIA
10297714,CIUDAD UNIVERSITARIA
10297748,CIUDAD UNIVERSITARIA
6522,CIUDAD UNIVERSITARIA
6520,CIUDAD UNIVERSITARIA
6521,CIUDAD UNIVERSITARIA
6523,NUEVA ESPAÑA
6524,CIUDAD UNIVERSITARIA
6527,CIUDAD UNIVERSITARIA
6528,CIUDAD UNIVERSITARIA
6529,CIUDAD UNIVERSITARIA
11955027,VALDEMARIN
6530,CIUDAD UNIVERSITARIA
6531,VALLEHERMOSO
6532,CASTELLANA
11955131,CIUDAD UNIVERSITARIA
6534,CIUDAD UNIVERSITARIA
6538,VALLEHERMOSO
10298280,CIUDAD UNIVERSITARIA
6545,ARAPILES
6544,VALLEHERMOSO
6546,CIUDAD UNIVERSITARIA
46080,CIUDAD UNIVERSITARIA
6552,HISPANOAMERICA
6519,CIUDAD UNIVERSITARIA
6540,CIUDAD UNIVERSITARIA
6542,VALLEHERMOSO
6549,MIRASIERRA
6553,VALLEHERMOSO
6525,CIUDAD UNIVERSITARIA
6554,HISPANOAMERICA
5629,GUINDALERA
5640,AMBROZ
5642,PUEBLO NUEVO
5641,MIRASIERRA
5497,MIRASIERRA
5645,SAN PASCUAL
6204,ESTRELLA
5648,GUINDALERA
5430,SIMANCAS
5382,OPAÑEL
5655,ALUCHE
5546,APOSTOL SANTIAGO
5656,EL VISO
5352,VENTAS
6066,ALMENDRALES
6064,LOS ANGELES
11955749,NUEVA ESPAÑA
5667,NUMANCIA
5669,NUEVA ESPAÑA
5670,VENTAS
5807,SAN ISIDRO
5673,PACIFICO
5682,MOSCARDO
5496,EL PILAR
5359,DELICIAS
5683,PUERTA BONITA
6067,ALUCHE
5663,EL VISO
5431,CANILLEJAS
5406,VENTAS
5685,GOYA
6065,EL SALVADOR
5684,GOYA
5686,LOS ANGELES
5819,SAN ISIDRO
5664,MEDIA LEGUA
5665,PIOVERA
5687,SAN JUAN BAUTISTA
6031,CIUDAD UNIVERSITARIA
5688,SAN ANDRES
6069,RECOLETOS
5410,ALMENARA
5697,VALDEZARZA
5698,CASTILLA
5357,PUERTA DEL ANGEL
5703,ENSANCHE DE VALLECAS
5705,CONCEPCION
6033,NUEVA ESPAÑA
5710,QUINTANA
6071,ORCASUR
6037,ALMENARA
5420,HISPANOAMERICA
102994,PIOVERA
104141,PIOVERA
5730,CUATRO CAMINOS
104243,ARAVACA
176850,VALDEFUENTES
4693138,CASCO H.VALLECAS
5075,PORTAZGO
5076,HELLIN
5077,LAS AGUILAS
10770379,HELLIN
5079,PEÑA GRANDE
4690849,ROSAS
5080,ALUCHE
5081,FUENTE DEL BERRO
5083,PALOMERAS BAJAS
5295314,ENSANCHE DE VALLECAS
5085,LOS ROSALES
5792171,EL GOLOSO
5087,BUENAVISTA
5088,EMBAJADORES
5091,PALOMERAS SURESTE
5092,ARAVACA
5093,ABRANTES
5094,NUEVA ESPAÑA
5095,PALOMERAS SURESTE
5431144,BUTARQUE
5098,SAN CRISTOBAL
5099,LOS ANGELES
7635761,VALVERDE
5100,SANTA EUGENIA
5101,LUCERO
5102,PEÑA GRANDE
5103,LA PAZ
5104,TIMON
5105,LA PAZ
5107,PUERTA BONITA
5108,EL PILAR
5110,PALOMERAS SURESTE
5111,SAN PASCUAL
5112,SIMANCAS
