Código barrio,Nombre barrio,Codigo distrito,Nombre distrito,Fecha datos,Índice de Vulnerabilidad Bienestar Social e Igualdad,Índice de Vulnerabilidad Bienestar Social e Igualdad - media distrito,Índice de Vulnerabilidad Medio Ambiente Urbano y Movilidad,Índice de Vulnerabilidad Medio Ambiente Urbano y Movilidad - media distrito,Índice de Vulnerabilidad Educación y Cultura,Índice de Vulnerabilidad Educación y Cultura - media distrito,Índice de Vulnerabilidad Economía y Empleo,Índice de Vulnerabilidad Economía y Empleo - media distrito,Índice de Vulnerabilidad Salud,Índice de Vulnerabilidad Salud - media distrito
11,Palacio,1,Centro,2021,10.62,10.37,4.44,9.62,5.01,5.43,7.14,8.52,8.77,9.41
12,Embajadores,1,Centro,2021,9.77,10.37,9.24,9.62,5.46,5.43,10.08,8.52,8.12,9.41
13,Cortes,1,Centro,2021,12.32,10.37,6.35,9.62,4.78,5.43,8.15,8.52,10.5,9.41
14,Justicia,1,Centro,2021,9.89,10.37,8.44,9.62,6.66,5.43,7.56,8.52,9.58,9.41
15,Universidad,1,Centro,2021,9.99,10.37,11.46,9.62,4.88,5.43,7.75,8.52,9.71,9.41
16,Sol,1,Centro,2021,13.04,10.37,26.06,9.62,6.79,5.43,9.32,8.52,15.45,9.41
21,Imperial,2,Arganzuela,2021,5.81,6.14,5.36,6.45,6.37,5.73,5.14,5.59,5.73,6.34
22,Acacias,2,Arganzuela,2021,5.93,6.14,5.61,6.45,6.33,5.73,5.05,5.59,5.71,6.34
23,Chopera,2,Arganzuela,2021,5.86,6.14,7.05,6.45,4.66,5.73,6.68,5.59,6.66,6.34
24,Legazpi,2,Arganzuela,2021,6.38,6.14,4.52,6.45,5.81,5.73,4.57,5.59,7.24,6.34
25,Delicias,2,Arganzuela,2021,6.35,6.14,7.14,6.45,6.22,5.73,5.81,5.59,6.34,6.34
26,Palos de la Frontera,2,Arganzuela,2021,6.19,6.14,9.22,6.45,4.5,5.73,6.45,5.59,5.89,6.34
27,Atocha,2,Arganzuela,2021,11,6.14,2.04,6.45,5.98,5.73,5.49,5.59,19.55,6.34
31,Pacífico,3,Retiro,2021,6.13,6.6,11.74,17.04,3.79,4.27,4.8,4.64,6.71,7.39
32,Adelfas,3,Retiro,2021,6.04,6.6,7.47,17.04,3.86,4.27,4.94,4.64,8.31,7.39
33,Estrella,3,Retiro,2021,5.85,6.6,6.28,17.04,5.56,4.27,3.81,4.64,7.06,7.39
34,Ibiza,3,Retiro,2021,8.17,6.6,56.34,17.04,3.6,4.27,5.55,4.64,6.55,7.39
35,Jerónimos,3,Retiro,2021,9.05,6.6,3.24,17.04,3.36,4.27,4.7,4.64,13.62,7.39
36,Niño Jesús,3,Retiro,2021,6.08,6.6,7.24,17.04,5.27,4.27,3.89,4.64,6.6,7.39
41,Recoletos,4,Salamanca,2021,8.15,6.87,22.48,12.08,4.55,5.77,5.59,5.23,6.19,6.28
42,Goya,4,Salamanca,2021,8.01,6.87,21.75,12.08,6.81,5.77,5.42,5.23,5.63,6.28
43,Fuente del Berro,4,Salamanca,2021,6.04,6.87,5.76,12.08,5.1,5.77,5.14,5.23,5.95,6.28
44,Guindalera,4,Salamanca,2021,6.17,6.87,5.73,12.08,4.94,5.77,4.63,5.23,7.34,6.28
45,Lista,4,Salamanca,2021,5.91,6.87,12.09,12.08,6.82,5.77,5.67,5.23,5.71,6.28
46,Castellana,4,Salamanca,2021,7.63,6.87,9.14,12.08,6.63,5.77,5.58,5.23,6,6.28
51,El Viso,5,Chamartín,2021,7.5,6.14,5.25,7.37,5.08,4.96,4.59,4.61,7.35,6.79
52,Prosperidad,5,Chamartín,2021,5.57,6.14,9.03,7.37,5.38,4.96,4.84,4.61,6.59,6.79
53,Ciudad Jardín,5,Chamartín,2021,5.7,6.14,9.43,7.37,3.39,4.96,5.12,4.61,7.01,6.79
54,Hispanoamérica,5,Chamartín,2021,5.56,6.14,7.37,7.37,5.15,4.96,4.38,4.61,6.32,6.79
