,price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district
181,3200000,planta 2,exterior,2,244.0,1,0,Castellana,salamanca
182,2150000,planta 1,exterior,5,407.0,1,1,Piovera,hortaleza
183,2800000,planta 4,exterior,5,306.0,1,0,Goya,salamanca
184,1175000,planta 7,exterior,4,173.0,1,0,Palacio,centro
185,875000,bajo,exterior,3,149.0,1,0,Ibiza,retiro
188,1275000,casa,exterior,3,125.0,1,0,Castellana,salamanca
190,2500000,planta 1,exterior,3,227.0,1,0,Jerónimos,Jerónimos
191,980000,planta 2,exterior,3,165.0,1,0,Cortes,centro
192,965000,planta 4,exterior,3,145.0,1,1,Hispanoamérica,chamartin
194,900000,planta 3,exterior,4,173.0,1,0,Sol,centro
195,2500000,planta 6,exterior,5,314.0,1,1,Almagro,chamberi
196,1195000,planta 4,exterior,4,303.0,1,1,Mirasierra,fuencarral
198,1850000,planta 1,exterior,3,150.0,1,0,Justicia,centro
199,870000,planta 2,exterior,4,150.0,1,0,Arapiles,chamberi
200,2395000,planta 1,exterior,4,270.0,1,1,Trafalgar,chamberi
201,2400000,planta 3,exterior,3,227.0,1,0,Trafalgar,chamberi
202,1925000,planta 6,exterior,3,187.0,1,1,Almagro,chamberi
203,1700000,planta 3,exterior,4,220.0,1,1,Goya,salamanca
204,1060000,planta 4,exterior,3,146.0,1,0,Goya,salamanca
205,750000,planta 1,exterior,2,111.0,1,0,Trafalgar,chamberi
206,179000,planta 3,interior,2,37.0,1,0,Embajadores,centro
207,1670000,planta 2,exterior,3,159.0,1,0,Palacio,centro
208,210000,planta 6,exterior,2,90.0,1,0,Orcasitas,usera
209,1290000,planta 2,exterior,3,150.0,1,1,Goya,salamanca
210,580000,planta 2,exterior,2,100.0,1,0,Palacio,centro
211,2100000,planta 2,exterior,4,209.0,1,1,Castellana,salamanca
213,280000,planta 1,exterior,3,103.0,1,0,Moscardó,usera
214,568000,planta 8,interior,2,90.0,1,0,Cuatro Caminos,tetuan
215,2700000,planta 2,exterior,3,220.0,1,0,Recoletos,salamanca
217,980000,planta 4,exterior,3,178.0,1,0,Piovera,hortaleza
218,259000,planta 2,exterior,4,76.0,1,0,Valdeacederas,tetuan
219,900000,planta 2,exterior,2,95.0,1,0,El Viso,chamartin
220,2500000,planta 1,exterior,3,151.0,1,0,Recoletos,salamanca
222,1129000,planta 6,interior,2,103.0,1,0,Goya,salamanca
224,2995000,planta 4,exterior,4,298.0,1,0,Gaztambide,chamberi
225,450000,planta 1,exterior,4,112.0,1,0,Embajadores,centro
227,650000,planta 2,interior,2,65.0,1,0,Goya,salamanca
