price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district,sports_centers,social_wellness_index,urban_mobility_index,education_index,employment_index,health_index
1350000,planta 2,exterior,3,147.0,1,0,Goya,salamanca,1.0,8.01,21.75,6.81,5.42,5.63
1400000,planta 2,exterior,3,190.0,1,1,Aravaca,moncloa,1.0,5.89,5.68,4.06,5.0,6.99
839000,planta 1,exterior,2,106.0,1,0,Cortes,centro,0.0,12.32,6.35,4.78,8.15,10.5
1450000,planta 3,exterior,3,139.0,1,0,Goya,salamanca,1.0,8.01,21.75,6.81,5.42,5.63
859000,planta 2,exterior,2,88.0,1,0,Sol,centro,0.0,13.04,26.06,6.79,9.32,15.45
1300000,planta 3,exterior,3,157.0,1,0,Trafalgar,chamberi,0.0,6.52,11.82,5.6,5.37,9.91
1100000,planta 1,interior,3,135.0,1,0,Sol,centro,0.0,13.04,26.06,6.79,9.32,15.45
1250000,planta 3,exterior,4,155.0,1,1,Castellana,salamanca,0.0,7.63,9.14,6.63,5.58,6.0
895000,planta 3,exterior,2,112.0,1,0,El Viso,chamartin,0.0,7.5,5.25,5.08,4.59,7.35
1080000,planta 4,exterior,2,97.0,1,1,Lista,salamanca,0.0,5.91,12.09,6.82,5.67,5.71
349000,planta 4,exterior,1,51.0,1,0,Palacio,centro,1.0,10.62,4.44,5.01,7.14,8.77
210000,entreplanta,exterior,3,80.0,1,0,Canillejas,san-blas,0.0,6.2,6.24,7.96,8.3,5.88
680000,planta 4,exterior,1,80.0,1,0,Justicia,centro,2.0,9.89,8.44,6.66,7.56,9.58
220000,planta 1,interior,3,49.0,1,0,Palos de Moguer,arganzuela,1.0,6.19,9.22,4.5,6.45,5.89
780000,planta 4,exterior,3,113.0,1,1,Niño Jesús,retiro,0.0,6.08,7.24,5.27,3.89,6.6
650000,planta 4,exterior,2,87.0,1,1,Trafalgar,chamberi,0.0,6.52,11.82,5.6,5.37,9.91
780000,planta 4,exterior,2,110.0,1,0,Justicia,centro,2.0,9.89,8.44,6.66,7.56,9.58
235000,bajo,exterior,0,85.0,1,0,Casco Histórico de Vicálvaro,vicalvaro,3.0,7.9,4.28,10.58,10.61,8.61
