price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district
385000,planta 2,interior,4,120.0,1,0,Acacias,arganzuela
269000,planta 6,interior,2,50.0,1,0,Palos de Moguer,arganzuela
475000,planta 3,exterior,4,126.0,1,0,Palos de Moguer,arganzuela
240000,bajo,interior,1,60.0,1,0,Acacias,arganzuela
199990,planta 1,interior,2,45.0,1,0,Palos de Moguer,arganzuela
440000,planta 4,exterior,3,105.0,1,0,Imperial,arganzuela
295000,planta 3,exterior,3,55.0,1,0,Chopera,arganzuela
340000,planta 3,exterior,2,68.0,1,0,Palos de Moguer,arganzuela
170000,bajo,interior,2,32.0,1,0,Palos de Moguer,arganzuela
360000,planta 1,exterior,4,105.0,1,0,Delicias,arganzuela
449000,planta 3,exterior,3,86.0,1,0,Imperial,arganzuela
485000,planta 4,exterior,3,113.0,1,0,Chopera,arganzuela
425000,planta 4,exterior,3,72.0,1,0,Acacias,arganzuela
520000,planta 1,exterior,3,135.0,1,0,Palos de Moguer,arganzuela
415000,planta 7,exterior,3,57.0,1,0,Palos de Moguer,arganzuela
320000,planta 1,exterior,3,71.0,1,0,Palos de Moguer,arganzuela
380000,planta 1,exterior,2,72.0,1,0,Palos de Moguer,arganzuela
320000,planta 5,exterior,1,60.0,1,0,Acacias,arganzuela
345000,planta 1,exterior,3,109.0,1,0,Delicias,arganzuela
670000,planta 5,exterior,3,119.0,1,0,Acacias,arganzuela
538000,planta 1,exterior,2,97.0,1,0,Legazpi,arganzuela
299900,planta 2,exterior,3,84.0,1,0,Delicias,arganzuela
299000,planta 6,interior,2,56.0,1,0,Palos de Moguer,arganzuela
385000,bajo,exterior,3,87.0,1,0,Legazpi,arganzuela
445000,planta 3,exterior,4,112.0,1,0,Delicias,arganzuela
300000,planta 1,exterior,3,68.0,1,0,Acacias,arganzuela
410000,planta 1,exterior,3,142.0,1,0,Imperial,arganzuela
515000,planta 5,,3,112.0,1,0,Chopera,arganzuela
499000,planta 3,exterior,3,121.0,1,0,Acacias,arganzuela
350000,planta 1,exterior,3,87.0,1,0,Palos de Moguer,arganzuela
340000,planta 2,exterior,3,80.0,1,0,Palos de Moguer,arganzuela
360000,planta 4,interior,3,72.0,1,0,Palos de Moguer,arganzuela
129000,sotano,interior,2,44.0,1,0,Acacias,arganzuela
145000,planta 2,interior,1,43.0,1,0,Delicias,arganzuela
175000,planta 2,interior,1,32.0,1,0,Delicias,arganzuela
299000,planta 2,interior,2,60.0,1,0,Acacias,arganzuela
155000,planta 2,interior,2,41.0,1,0,Imperial,arganzuela
349000,planta 2,exterior,2,97.0,1,0,Acacias,arganzuela
339000,planta 7,interior,2,80.0,1,0,Imperial,arganzuela
350000,planta 2,interior,2,62.0,1,0,Chopera,arganzuela
345000,planta 4,interior,4,100.0,1,0,Palos de Moguer,arganzuela
379000,planta 1,exterior,3,101.0,1,0,Delicias,arganzuela
177000,bajo,exterior,1,36.0,1,0,Palos de Moguer,arganzuela
165000,planta 1,interior,1,33.0,1,0,Palos de Moguer,arganzuela
555000,planta 4,exterior,4,121.0,1,0,Palos de Moguer,arganzuela
165000,bajo,exterior,3,84.0,1,0,Imperial,arganzuela
298000,planta 4,exterior,1,64.0,1,0,Delicias,arganzuela
410000,planta 4,exterior,3,100.0,1,0,Chopera,arganzuela
550000,planta 6,interior,4,120.0,1,0,Chopera,arganzuela
230000,bajo,interior,2,53.0,1,0,Delicias,arganzuela
185000,bajo,interior,1,45.0,1,0,Palos de Moguer,arganzuela
180000,bajo,interior,1,45.0,1,0,Chopera,arganzuela
392400,bajo,exterior,2,77.0,1,0,Palos de Moguer,arganzuela
373000,planta 4,exterior,2,93.0,1,0,Chopera,arganzuela
545000,planta 4,exterior,4,156.0,1,0,Delicias,arganzuela
373800,planta 3,exterior,2,89.0,1,0,Chopera,arganzuela
390000,planta 1,exterior,3,90.0,1,0,Chopera,arganzuela
460000,planta 2,interior,2,90.0,1,0,Chopera,arganzuela
449900,planta 2,exterior,3,106.0,1,0,Palos de Moguer,arganzuela
239000,planta 2,interior,3,62.0,1,0,Palos de Moguer,arganzuela
219900,planta 2,interior,2,48.0,1,0,Palos de Moguer,arganzuela
315000,planta 3,exterior,2,45.0,1,0,Imperial,arganzuela
239000,planta 3,interior,1,51.0,1,0,Chopera,arganzuela
480000,bajo,exterior,3,143.0,1,0,Imperial,arganzuela
675000,planta 1,exterior,7,170.0,1,0,Delicias,arganzuela
135000,planta 1,interior,2,81.0,1,0,Acacias,arganzuela
