sq_mt_built,n_rooms,n_bathrooms,is_exact_address_hidden,floor,is_floor_under,rent_price,buy_price_by_area,is_renewal_needed,is_new_development,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,energy_certificate,has_parking,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,built_year,neighbourhood,district,house_type
45.0,2,1.0,1,one,0.0,471,1889,1,0.0,0.0,1.0,0,0,0.0,1.0,E,0,,,,,1968.0,Los Rosales 133,Villaverde 21,Apartment
120.0,3,2.0,1,seven,0.0,1195,2483,0,0.0,0.0,1.0,1,1,1.0,,in process,1,,,,,,Los Rosales 133,Villaverde 21,Apartment
74.0,3,1.0,0,one,0.0,702,1878,0,0.0,0.0,1.0,0,1,0.0,1.0,not indicated,0,0.0,0.0,1.0,0.0,,Los Ángeles 132,Villaverde 21,Apartment
125.0,3,2.0,0,seven,0.0,1128,2180,0,0.0,0.0,1.0,0,1,1.0,1.0,F,0,,,,,2004.0,Butarque 131,Villaverde 21,Duplex
126.0,4,2.0,1,zero,1.0,1135,2183,0,0.0,0.0,1.0,1,1,1.0,1.0,in process,1,0.0,0.0,1.0,1.0,,Butarque 131,Villaverde 21,Apartment
158.0,3,2.0,0,four,0.0,1172,1829,0,0.0,0.0,1.0,1,1,1.0,1.0,in process,1,,,,,2003.0,Butarque 131,Villaverde 21,Penthouse
65.0,2,1.0,1,,,604,1769,0,0.0,,,0,0,0.0,1.0,G,0,,,,,,Los Rosales 133,Villaverde 21,Apartment
108.0,3,2.0,1,four,0.0,847,1657,0,0.0,,,0,1,1.0,1.0,in process,0,,,,,1978.0,Los Ángeles 132,Villaverde 21,Apartment
62.0,2,1.0,1,zero,1.0,638,1984,0,0.0,0.0,1.0,1,0,1.0,1.0,E,0,1.0,0.0,0.0,0.0,1984.0,San Andrés 134,Villaverde 21,Apartment
51.0,2,1.0,1,three,0.0,492,1755,1,0.0,,,0,0,0.0,1.0,in process,0,0.0,0.0,0.0,1.0,1967.0,Los Rosales 133,Villaverde 21,Apartment
