sq_mt_built,n_rooms,n_bathrooms,is_exact_address_hidden,floor,is_floor_under,rent_price,buy_price,buy_price_by_area,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,energy_certificate,has_parking,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,neighborhood,District,HouseType
150.0,2,1.0,False,Unknown,False,777,159000,1060,True,False,1993.0,False,True,False,False,Unknown,Unknown,F,True,Unknown,Unknown,Unknown,Unknown,San Andrés 134,Villaverde 21,Chalet
140.0,3,3.0,False,7,False,1128,272500,1946,False,False,2004.0,False,True,True,True,True,True,D,False,False,False,True,False,Butarque 131,Villaverde 21,Duplex
58.0,3,1.0,True,2,False,471,85000,1466,False,False,1951.0,Unknown,Unknown,True,False,False,True,E,False,Unknown,Unknown,Unknown,Unknown,Los Rosales 133,Villaverde 21,Apartment
65.0,3,1.0,True,1,False,512,94000,1446,False,False,Unknown,False,True,True,True,False,True,in process,False,False,False,False,True,San Cristóbal 135,Villaverde 21,Apartment
110.0,4,2.0,True,1,False,833,175000,1591,False,False,1978.0,False,True,False,True,False,True,E,False,Unknown,Unknown,Unknown,Unknown,Los Rosales 133,Villaverde 21,Apartment
173.0,4,2.0,True,2,False,1116,268000,1549,False,False,2003.0,False,True,True,True,True,True,in process,True,True,False,True,False,Butarque 131,Villaverde 21,Apartment
75.0,2,1.0,True,3,False,766,156000,2080,False,False,Unknown,False,True,True,True,True,True,in process,False,Unknown,Unknown,Unknown,Unknown,San Andrés 134,Villaverde 21,Penthouse
90.0,1,1.0,False,7,False,861,183159,2035,False,True,Unknown,Unknown,Unknown,False,False,True,True,not indicated,True,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Penthouse
125.0,3,2.0,False,1,False,948,210000,1680,False,False,1996.0,False,True,True,True,True,True,B,True,Unknown,Unknown,Unknown,Unknown,Los Rosales 133,Villaverde 21,Apartment
58.0,2,1.0,True,Bajo,True,471,85000,1466,False,False,1968.0,Unknown,Unknown,False,False,False,True,in process,False,Unknown,Unknown,Unknown,Unknown,San Andrés 134,Villaverde 21,Apartment
92.0,3,1.0,True,6,False,780,159900,1738,False,False,1962.0,False,True,True,False,True,True,in process,False,Unknown,Unknown,Unknown,Unknown,Los Ángeles 132,Villaverde 21,Apartment
70.0,2,1.0,False,3,False,613,117000,1671,False,False,1975.0,False,True,True,True,False,True,in process,False,True,False,True,False,San Andrés 134,Villaverde 21,Apartment
54.0,2,1.0,False,2,False,583,110000,2037,False,False,1960.0,False,True,False,False,False,True,E,False,False,False,True,False,San Andrés 134,Villaverde 21,Apartment
52.0,2,1.0,True,1,False,539,100000,1923,False,False,Unknown,Unknown,Unknown,False,False,False,True,E,False,Unknown,Unknown,Unknown,Unknown,Los Rosales 133,Villaverde 21,Apartment
108.0,3,1.0,True,2,False,705,140000,1296,False,False,1995.0,False,True,True,True,False,True,in process,False,False,True,False,True,San Andrés 134,Villaverde 21,Apartment
65.0,2,1.0,True,3,False,568,106500,1638,False,False,1963.0,False,True,True,True,False,True,not indicated,False,False,False,True,False,Los Rosales 133,Villaverde 21,Apartment
102.0,3,2.0,True,3,False,656,127500,1250,False,False,1964.0,False,True,False,False,False,True,in process,False,False,True,False,False,Los Rosales 133,Villaverde 21,Apartment
80.0,2,1.0,True,3,False,736,148000,1850,False,False,1999.0,False,True,True,True,True,True,in process,True,False,False,False,True,San Andrés 134,Villaverde 21,Apartment
108.0,2,1.0,True,4,False,933,205000,1898,False,False,2002.0,False,True,True,False,True,True,E,True,False,False,False,True,Butarque 131,Villaverde 21,Duplex
80.0,3,2.0,True,4,False,979,220000,2750,False,False,2000.0,False,True,True,True,True,True,E,True,False,False,True,True,Los Rosales 133,Villaverde 21,Apartment
16.0,3,1.0,True,1,False,600,114000,7125,False,False,1970.0,False,True,False,False,False,True,E,False,False,False,True,True,Los Rosales 133,Villaverde 21,Apartment
54.0,2,1.0,True,3,False,493,89900,1665,False,False,1964.0,Unknown,Unknown,False,True,False,True,G,False,False,False,True,True,San Andrés 134,Villaverde 21,Apartment
70.0,2,2.0,True,4,False,948,210000,3000,False,False,2003.0,False,True,True,True,True,True,E,True,False,True,True,False,Los Rosales 133,Villaverde 21,Apartment
99.0,2,2.0,True,Entreplanta exterior,True,725,145000,1465,False,False,2007.0,False,True,False,True,True,True,E,False,False,True,True,False,San Andrés 134,Villaverde 21,Apartment
123.0,4,2.0,True,3,False,1135,275000,2236,False,Unknown,Unknown,Unknown,Unknown,True,False,True,True,not indicated,False,Unknown,Unknown,Unknown,Unknown,Los Rosales 133,Villaverde 21,Apartment
64.0,3,1.0,True,5,False,557,104000,1625,False,False,Unknown,False,True,True,False,False,True,in process,False,Unknown,Unknown,Unknown,Unknown,Los Ángeles 132,Villaverde 21,Apartment
107.0,3,2.0,False,6,False,1005,228629,2137,False,True,Unknown,False,True,False,False,True,True,not indicated,True,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
76.0,2,2.0,False,6,False,813,169021,2224,False,True,Unknown,False,True,False,False,True,True,not indicated,True,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
109.0,3,2.0,False,5,False,988,223022,2046,False,True,Unknown,False,True,False,False,True,True,not indicated,True,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
108.0,3,2.0,False,5,False,979,220072,2038,False,True,Unknown,False,True,False,False,True,True,not indicated,True,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
103.0,3,2.0,False,6,False,1026,235718,2289,False,True,Unknown,Unknown,Unknown,False,False,True,True,not indicated,False,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
103.0,3,2.0,False,1,False,1052,245000,2379,False,True,Unknown,Unknown,Unknown,False,False,True,True,not indicated,True,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
143.0,3,2.0,False,Bajo,True,1094,260000,1818,False,True,Unknown,Unknown,Unknown,False,False,True,True,not indicated,True,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
99.0,3,2.0,False,6,False,1024,235000,2374,False,True,Unknown,Unknown,Unknown,False,False,True,True,not indicated,True,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
100.0,3,2.0,False,3,False,1024,235000,2350,False,True,Unknown,Unknown,Unknown,False,False,True,True,not indicated,True,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
176.0,2,2.0,False,6,False,1108,265000,1506,False,True,Unknown,Unknown,Unknown,False,False,True,True,not indicated,True,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
87.0,2,2.0,False,2,False,884,190000,2184,False,True,Unknown,Unknown,Unknown,False,False,True,True,not indicated,True,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
106.0,3,2.0,False,4,False,1084,256115,2416,False,True,Unknown,Unknown,Unknown,False,False,True,True,not indicated,False,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
113.0,3,2.0,False,Bajo,True,1100,261989,2318,False,True,Unknown,Unknown,Unknown,False,False,True,True,not indicated,False,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
115.0,3,2.0,False,1,False,1131,273353,2377,False,True,Unknown,Unknown,Unknown,False,False,True,True,not indicated,False,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
129.0,3,2.0,False,7,False,1194,297621,2307,False,True,Unknown,Unknown,Unknown,False,False,True,True,not indicated,False,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
115.0,3,2.0,False,6,False,1148,279778,2433,False,True,Unknown,Unknown,Unknown,False,False,True,True,not indicated,False,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
110.0,2,2.0,True,Bajo,True,686,135000,1227,True,False,Unknown,False,True,True,False,False,True,in process,False,Unknown,Unknown,Unknown,Unknown,San Andrés 134,Villaverde 21,Apartment
90.0,3,2.0,False,2,False,901,195000,2167,False,False,1985.0,False,True,True,False,True,True,in process,False,Unknown,Unknown,Unknown,Unknown,Los Ángeles 132,Villaverde 21,Apartment
60.0,2,1.0,True,1,False,654,126900,2115,True,False,Unknown,Unknown,Unknown,False,False,False,True,G,False,Unknown,Unknown,Unknown,Unknown,Los Rosales 133,Villaverde 21,Apartment
54.0,2,1.0,False,Unknown,Unknown,691,136400,2526,False,Unknown,Unknown,Unknown,Unknown,False,False,False,Unknown,E,False,Unknown,Unknown,Unknown,Unknown,Los Ángeles 132,Villaverde 21,Apartment
80.0,3,1.0,False,Bajo,True,725,145000,1812,False,False,Unknown,False,True,True,True,False,True,in process,False,False,False,False,True,San Andrés 134,Villaverde 21,Apartment
73.0,2,1.0,True,1,False,656,127500,1747,False,False,1999.0,False,True,False,True,True,True,G,False,False,True,False,True,San Andrés 134,Villaverde 21,Apartment
122.0,3,2.0,True,Bajo,True,847,179000,1467,False,False,1999.0,False,True,False,False,True,True,in process,True,False,True,True,False,San Andrés 134,Villaverde 21,Apartment
98.0,3,2.0,True,Bajo,True,1111,266122,2716,False,False,2020.0,False,True,False,True,True,True,in process,True,False,True,False,False,Butarque 131,Villaverde 21,Apartment
97.0,3,2.0,True,Bajo,True,1100,261989,2701,False,False,2020.0,False,True,True,True,True,True,in process,True,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
111.0,3,2.0,True,7,False,1194,297621,2681,False,False,2020.0,False,True,True,True,True,True,in process,True,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Penthouse
99.0,3,2.0,True,3,False,1071,251569,2541,False,False,2020.0,False,True,True,True,True,True,in process,True,False,True,False,False,Butarque 131,Villaverde 21,Apartment
77.0,3,1.0,True,1,False,598,113500,1474,True,False,1968.0,Unknown,Unknown,False,False,False,True,in process,False,True,False,False,False,Los Rosales 133,Villaverde 21,Apartment
85.0,3,1.0,False,4,False,698,138000,1624,False,False,1966.0,False,True,False,False,False,True,in process,False,Unknown,Unknown,Unknown,Unknown,San Andrés 134,Villaverde 21,Apartment
90.0,3,2.0,False,2,False,994,225000,2500,False,False,Unknown,Unknown,Unknown,True,True,True,True,in process,True,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
133.0,2,1.0,False,6,False,1105,264000,1985,False,False,2003.0,False,True,True,True,True,True,C,True,Unknown,Unknown,Unknown,Unknown,Los Rosales 133,Villaverde 21,Apartment
60.0,3,1.0,True,2,False,531,98260,1638,False,False,1960.0,False,True,False,False,False,True,F,False,Unknown,Unknown,Unknown,Unknown,Los Rosales 133,Villaverde 21,Apartment
133.0,3,3.0,True,7,False,1135,275000,2068,False,False,2004.0,False,True,False,True,True,True,D,False,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
85.0,2,1.0,True,2,False,642,124000,1459,False,False,1967.0,False,True,True,False,False,True,F,False,False,False,True,True,San Andrés 134,Villaverde 21,Apartment
59.0,2,2.0,False,3,False,797,164513,2788,False,True,Unknown,Unknown,Unknown,False,True,True,True,not indicated,True,Unknown,Unknown,Unknown,Unknown,Los Ángeles 132,Villaverde 21,Apartment
