price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district,parking_spaces,urban_mobility_index,education_index,employment_index
119900,bajo,interior,2,38.0,1,0,Comillas,carabanchel,1599.0,7.77,12.57,10.92
210000,planta 5,exterior,3,63.0,1,0,Opañel,carabanchel,762.0,9.53,10.68,10.92
128000,bajo,exterior,3,51.0,0,0,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
178000,planta 3,exterior,3,75.0,0,0,Opañel,carabanchel,762.0,9.53,10.68,10.92
250000,planta 1,exterior,2,100.0,1,1,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
175000,planta 2,exterior,3,75.0,0,0,Buenavista,carabanchel,0.0,8.35,10.42,10.92
153000,planta 2,exterior,3,64.0,0,0,San Isidro,carabanchel,199.0,6.64,11.27,10.92
185000,planta 2,interior,3,76.0,1,0,Opañel,carabanchel,762.0,9.53,10.68,10.92
315000,planta 2,exterior,3,122.0,1,1,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
115000,bajo,exterior,2,47.0,1,0,Opañel,carabanchel,762.0,9.53,10.68,10.92
142000,planta 3,exterior,3,71.0,0,0,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
75000,bajo,exterior,2,46.0,0,0,San Isidro,carabanchel,199.0,6.64,11.27,10.92
115000,bajo,exterior,2,55.0,0,0,Opañel,carabanchel,762.0,9.53,10.68,10.92
179000,planta 1,exterior,2,77.0,1,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
161000,planta 1,exterior,3,68.0,0,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
137000,planta 1,exterior,2,65.0,0,0,Opañel,carabanchel,762.0,9.53,10.68,10.92
379000,planta 1,exterior,4,136.0,1,1,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
399000,planta 5,exterior,4,126.0,1,1,Abrantes,carabanchel,740.0,5.73,13.05,10.92
140500,planta 1,exterior,3,74.0,0,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
105000,planta 3,exterior,2,60.0,0,0,Abrantes,carabanchel,740.0,5.73,13.05,10.92
118200,planta 1,exterior,1,56.0,1,0,San Isidro,carabanchel,199.0,6.64,11.27,10.92
180500,planta 3,exterior,3,92.0,0,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
180500,planta 3,exterior,3,86.0,0,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
167000,bajo,exterior,2,70.0,0,0,Comillas,carabanchel,1599.0,7.77,12.57,10.92
195000,planta 2,exterior,3,93.0,0,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
169000,planta 6,exterior,3,75.0,1,0,Opañel,carabanchel,762.0,9.53,10.68,10.92
375000,planta 3,exterior,3,112.0,1,1,San Isidro,carabanchel,199.0,6.64,11.27,10.92
