,Area,rooms,floor,price,elevator,exterior,district
465,78.0,3,2.0,116050,False,True,villaverde
466,70.0,3,1.0,129990,False,True,villaverde
467,89.0,2,3.0,144801,True,True,villaverde
468,92.0,3,1.0,147000,False,True,villaverde
469,85.0,0,0.0,78000,False,True,villaverde
470,80.0,3,0.0,99000,False,True,villaverde
471,64.0,2,1.0,149999,True,True,villaverde
472,78.0,2,0.5,146800,True,True,villaverde
473,72.0,2,3.0,139000,True,True,villaverde
474,60.0,3,6.0,66000,False,True,villaverde
475,60.0,2,5.0,70000,False,True,villaverde
476,59.0,2,3.0,99000,False,True,villaverde
477,90.0,3,2.0,190000,False,True,villaverde
478,61.0,2,2.0,93000,False,False,villaverde
479,73.0,3,4.0,79900,False,True,villaverde
480,108.0,3,4.0,143900,True,True,villaverde
482,62.0,2,2.0,107000,False,True,villaverde
483,89.0,2,4.0,250000,True,True,villaverde
484,68.0,2,1.0,164000,False,True,villaverde
485,65.0,3,4.0,108000,False,True,villaverde
486,70.0,3,5.0,119000,False,True,villaverde
487,55.0,2,2.0,99900,False,True,villaverde
488,90.0,2,0.0,215000,True,True,villaverde
489,67.0,3,3.0,99000,False,True,villaverde
490,110.0,2,3.0,225000,True,True,villaverde
491,65.0,3,5.0,85000,False,True,villaverde
492,57.0,3,3.0,109000,False,True,villaverde
493,80.0,3,4.0,130000,True,True,villaverde
494,110.0,4,3.0,199000,True,True,villaverde
495,93.0,3,2.0,125000,False,True,villaverde
496,120.0,3,6.0,250000,True,True,villaverde
497,78.0,2,1.0,198500,True,True,villaverde
499,52.0,2,1.0,99900,False,True,villaverde
500,102.0,3,5.0,245000,True,True,villaverde
502,69.0,2,0.0,119000,True,True,villaverde
503,104.0,3,0.0,305000,True,True,villaverde
504,80.0,3,3.0,107260,False,True,villaverde
505,65.0,3,3.0,99000,False,True,villaverde
506,62.0,2,2.0,93000,False,True,villaverde
507,69.0,3,2.0,97000,False,True,villaverde
508,65.0,3,2.0,95000,False,True,villaverde
509,80.0,3,1.0,128000,False,True,villaverde
510,116.0,3,6.0,280000,True,True,villaverde
512,83.0,3,8.0,147000,True,True,villaverde
513,110.0,4,2.0,199000,True,True,villaverde
514,75.0,3,2.0,125000,False,True,villaverde
515,60.0,3,1.0,110000,False,True,villaverde
516,75.0,2,1.0,125000,False,True,villaverde
517,78.0,3,4.0,108300,False,True,villaverde
518,106.0,3,1.0,249500,True,True,villaverde
519,65.0,3,0.5,124000,False,True,villaverde
520,95.0,3,5.0,164000,True,True,villaverde
521,90.0,3,2.0,179000,True,True,villaverde
522,79.0,3,1.0,135000,True,True,villaverde
523,54.0,1,1.0,119000,False,True,villaverde
524,78.0,2,1.0,107900,False,True,villaverde
525,109.0,3,1.0,139000,True,True,villaverde
526,100.0,3,1.0,184000,False,True,villaverde
527,125.0,4,0.5,175000,True,True,villaverde
528,50.0,2,0.5,99000,False,True,villaverde
529,70.0,3,3.0,99000,False,True,villaverde
530,60.0,2,1.0,68260,False,True,villaverde
531,98.0,2,4.0,257000,True,True,villaverde
532,104.0,3,1.0,155000,True,True,villaverde
533,133.0,3,3.0,239000,True,True,villaverde
534,114.0,3,3.0,175000,True,True,villaverde
535,90.0,4,0.0,165000,True,True,villaverde
536,124.0,3,3.0,245000,True,True,villaverde
537,75.0,3,2.0,136000,False,True,villaverde
538,70.0,3,3.0,109000,False,True,villaverde
540,108.0,3,3.0,195000,True,True,villaverde
541,78.0,3,0.0,130700,False,True,villaverde
542,60.0,1,0.0,123000,True,True,villaverde
543,63.0,1,2.0,106900,True,True,villaverde
544,75.0,3,0.5,140000,True,True,villaverde
545,47.0,1,5.0,139000,True,True,villaverde
546,80.0,4,2.0,165000,False,True,villaverde
547,100.0,3,4.0,178000,False,True,villaverde
548,49.0,2,0.0,145000,True,True,villaverde
549,85.0,2,1.0,185000,True,True,villaverde
550,106.0,3,1.0,245000,True,True,villaverde
551,70.0,3,2.0,108000,False,True,villaverde
552,134.0,4,2.0,292900,True,True,villaverde
553,107.0,3,0.0,291000,True,True,villaverde
554,52.0,1,1.0,124000,True,True,villaverde
555,72.0,2,1.0,170000,True,True,villaverde
556,99.0,3,1.0,229000,True,True,villaverde
557,112.0,3,3.0,299000,True,True,villaverde
559,77.0,3,1.0,199306,True,True,villaverde
560,103.0,3,3.0,235293,True,True,villaverde
561,105.0,2,5.0,232695,True,True,villaverde
562,105.0,3,5.0,235815,True,True,villaverde
563,106.0,3,1.0,250356,True,True,villaverde
564,105.0,3,6.0,235305,True,True,villaverde
565,105.0,3,3.0,234990,True,True,villaverde
566,103.0,3,2.0,235815,True,True,villaverde
567,103.0,3,4.0,236227,True,True,villaverde
568,105.0,3,4.0,234990,True,True,villaverde
569,103.0,3,4.0,235293,True,True,villaverde
570,114.0,3,3.0,253291,True,True,villaverde
571,103.0,3,2.0,235172,True,True,villaverde
572,106.0,3,2.0,252891,True,True,villaverde
573,105.0,3,1.0,236154,True,True,villaverde
574,103.0,3,1.0,236227,True,True,villaverde
575,98.0,2,5.0,228208,True,True,villaverde
576,105.0,3,2.0,235402,True,True,villaverde
577,60.0,2,0.0,130000,False,True,villaverde
578,130.0,2,3.0,215000,False,True,villaverde
579,70.0,3,7.0,129000,True,True,villaverde
580,76.0,3,1.0,196541,True,True,villaverde
581,70.0,3,1.0,130000,False,True,villaverde
582,63.0,3,1.0,69900,False,True,villaverde
583,51.0,3,3.0,115000,False,True,villaverde
584,90.0,2,4.0,139000,False,True,villaverde
585,55.0,2,0.0,109000,False,True,villaverde
586,73.0,3,0.5,115000,False,True,villaverde
587,82.0,3,2.0,163000,True,True,villaverde
588,95.0,3,1.0,177000,False,True,villaverde
589,97.0,4,1.0,160000,False,True,villaverde
590,65.0,2,2.0,126000,False,False,villaverde
591,122.0,3,3.0,205000,True,True,villaverde
592,109.0,4,4.0,149000,True,True,villaverde
593,85.0,4,2.0,155000,False,True,villaverde
594,122.0,3,1.0,280000,True,True,villaverde
595,56.0,3,1.0,89000,False,True,villaverde
