price,house_type,house_type_2,rooms,m2,elevator,garage,neighbourhood,district
490000,Ático,exterior,2,90.0,1,1,Pueblo Nuevo,Ciudad Lineal
1440000,Piso,exterior,5,277.0,1,1,Gaztambide,Chamberí
950000,Piso,exterior,3,125.0,1,1,Trafalgar,Chamberí
560000,Ático,exterior,2,100.0,1,1,Valverde,Fuencarral-El Pardo
1095000,Piso,exterior,2,130.0,1,0,Goya,Salamanca
2100000,Piso,exterior,4,280.0,1,1,Hispanoamérica,Chamartín
263350,Piso,exterior,1,47.0,1,0,Castillejos,Tetuán
135000,Piso,exterior,2,54.0,1,0,Entrevías,Puente de Vallecas
135000,Piso,exterior,2,58.0,1,0,San Diego,Puente de Vallecas
152000,Piso,exterior,2,60.0,1,0,Casco Histórico de Vallecas,Villa de Vallecas
152999,Piso,exterior,3,118.0,1,0,Santa Eugenia,Villa de Vallecas
153000,Piso,interior,2,54.0,1,0,Vista Alegre,Carabanchel
153000,Piso,exterior,3,59.0,1,0,Zofio,Usera
190000,Estudio,exterior,0,56.0,1,0,Cortes,Centro
6800000,Piso,exterior,5,490.0,1,0,Recoletos,Salamanca
93738,Piso,exterior,3,72.0,1,0,Palomeras Bajas,Puente de Vallecas
1400000,Ático,exterior,3,190.0,1,1,Aravaca,Moncloa-Aravaca
1980000,Piso,exterior,2,166.0,1,0,Justicia,Centro
570000,Dúplex,exterior,1,80.0,1,1,Hispanoamérica,Chamartín
3800000,Dúplex,exterior,4,417.0,1,1,El Viso,Chamartín
395000,Piso,interior,2,56.0,1,0,Goya,Salamanca
715000,Piso,exterior,2,74.0,1,0,Lista,Salamanca
950000,Piso,exterior,3,127.0,1,0,Castillejos,Tetuán
450000,Piso,exterior,2,114.0,1,1,San Isidro,Carabanchel
839000,Piso,exterior,2,106.0,1,0,Cortes,Centro
353500,Piso,exterior,1,62.0,1,1,Valverde,Fuencarral-El Pardo
2350000,Piso,exterior,4,208.0,1,0,Sol,Centro
3900000,Piso,exterior,3,633.0,1,1,Palacio,Centro
1715000,Piso,exterior,4,125.0,1,0,Cortes,Centro
2075000,Ático,exterior,4,284.0,1,1,Mirasierra,Fuencarral-El Pardo
160000,Piso,exterior,2,70.0,1,0,Buenavista,Carabanchel
839000,Piso,exterior,2,106.0,1,0,Cortes,Centro
393000,Piso,exterior,3,105.0,1,1,El Cañaveral,Vicálvaro
1900000,Piso,exterior,3,188.0,1,0,Recoletos,Salamanca
170000,Piso,exterior,2,52.0,1,0,Pradolongo,Usera
170000,Piso,interior,4,79.0,1,0,Canillejas,San Blas-Canillejas
170000,Piso,exterior,2,40.0,1,0,Orcasur,Usera
170000,Piso,exterior,2,50.0,1,0,San Diego,Puente de Vallecas
170000,Estudio,exterior,0,35.0,1,0,Adelfas,Retiro
170000,Piso,exterior,4,79.0,1,0,Canillejas,San Blas-Canillejas
170576,Piso,exterior,3,62.0,1,0,Aluche,Latina
170828,Piso,exterior,1,56.0,1,0,Puerta Bonita,Carabanchel
100000,Piso,exterior,2,62.0,1,0,San Cristóbal de los Ángeles,Villaverde
192000,Piso,exterior,3,119.0,1,0,Entrevías,Puente de Vallecas
105000,Piso,exterior,3,65.0,1,0,San Cristóbal de los Ángeles,Villaverde
92500,Piso,exterior,3,57.0,1,0,Butarque,Villaverde
185000,Piso,exterior,1,114.0,1,0,Simancas,San Blas-Canillejas
260000,Piso,interior,6,160.0,1,1,Los Rosales,Villaverde
123500,Piso,exterior,3,76.0,1,0,Valverde,Fuencarral-El Pardo
101000,Piso,exterior,3,62.0,1,0,Villaverde Alto,Villaverde
490000,Piso,exterior,3,95.0,1,0,Vallehermoso,Chamberí
775000,Chalet,interior,4,177.0,0,1,Castillejos,Tetuán
795000,Piso,interior,3,100.0,1,1,Palacio,Centro
1380000,Piso,interior,4,238.0,0,0,Gaztambide,Chamberí
373000,Piso,exterior,1,62.0,1,0,Prosperidad,Chamartín
850000,Piso,exterior,3,137.0,1,1,La Paz,Fuencarral-El Pardo
1650000,Piso,exterior,4,228.0,1,0,El Viso,Chamartín
465000,Piso,exterior,3,137.0,1,1,Rejas,San Blas-Canillejas
3700000,Piso,exterior,5,320.0,1,1,Recoletos,Salamanca
2390000,Ático,exterior,4,207.0,1,0,Recoletos,Salamanca
1650000,Piso,exterior,2,143.0,1,0,Justicia,Centro
135000,Piso,exterior,2,47.0,1,0,San Diego,Puente de Vallecas
839000,Piso,exterior,3,110.0,1,0,Universidad,Centro
195000,Piso,exterior,1,69.0,1,1,Buenavista,Carabanchel
1200000,Piso,exterior,4,103.0,1,0,Castellana,Salamanca
629000,Piso,exterior,2,54.0,1,0,Goya,Salamanca
629000,Piso,exterior,2,54.0,1,0,Goya,Salamanca
2800000,Piso,exterior,4,283.0,1,0,Palacio,Centro
1054000,Piso,interior,2,135.0,1,0,Vallehermoso,Chamberí
2800000,Chalet,interior,5,452.0,0,1,Piovera,Hortaleza
421000,Piso,interior,1,57.0,1,0,Peñagrande,Fuencarral-El Pardo
1196000,Piso,interior,2,124.0,1,0,Jerónimos,Retiro
360000,Piso,exterior,3,136.0,1,1,Buenavista,Carabanchel
805000,Piso,exterior,2,112.0,1,0,Sol,Centro
220000,Piso,exterior,3,72.0,1,0,Pinar del Rey,Hortaleza
1150000,Piso,exterior,3,121.0,1,0,Universidad,Centro
441000,Piso,exterior,2,91.0,1,1,Valdeacederas,Tetuán
300000,Dúplex,interior,3,70.0,1,0,Almagro,Chamberí
5000000,Piso,exterior,1,830.0,1,1,Hispanoamérica,Chamartín
2590000,Casa,interior,7,753.0,0,1,Mirasierra,Fuencarral-El Pardo
3200000,Piso,exterior,3,244.0,1,0,Castellana,Salamanca
3200000,Piso,exterior,4,345.0,1,1,El Viso,Chamartín
976000,Piso,interior,2,143.0,1,1,Vallehermoso,Chamberí
2685000,Piso,exterior,3,213.0,1,0,Recoletos,Salamanca
2675000,Piso,exterior,2,268.0,1,0,Justicia,Centro
2650000,Piso,exterior,5,431.0,1,1,Niño Jesús,Retiro
2650000,Piso,exterior,4,235.0,1,0,Justicia,Centro
940000,Piso,exterior,2,113.0,1,0,Ibiza,Retiro
950000,Piso,exterior,3,127.0,1,0,Castillejos,Tetuán
169900,Piso,exterior,2,57.0,1,0,Canillejas,San Blas-Canillejas
169900,Piso,exterior,3,65.0,1,0,San Isidro,Carabanchel
121000,Piso,exterior,1,57.0,1,0,San Diego,Puente de Vallecas
121000,Piso,exterior,4,97.0,1,0,Puerta del Ángel,Latina
135000,Piso,exterior,1,63.0,1,1,Abrantes,Carabanchel
269000,Piso,exterior,1,90.0,1,0,Comillas,Carabanchel
499995,Piso,exterior,2,85.0,1,0,Hispanoamérica,Chamartín
98200,Piso,exterior,2,40.0,1,0,Numancia,Puente de Vallecas
1495000,Piso,exterior,4,215.0,1,1,Colina,Ciudad Lineal
359000,Piso,interior,2,107.0,1,0,Palacio,Centro
2250000,Piso,interior,6,400.0,1,1,La Paz,Fuencarral-El Pardo
127000,Piso,exterior,2,50.0,1,0,Villaverde Alto,Villaverde
690000,Piso,exterior,2,82.0,1,1,Goya,Salamanca
230000,Piso,exterior,3,74.0,1,1,Aluche,Latina
290000,Piso,interior,1,40.0,1,0,Fuente del Berro,Salamanca
1890000,Piso,exterior,2,165.0,1,1,Castellana,Salamanca
290000,Piso,interior,1,40.0,1,0,Fuente del Berro,Salamanca
235000,Piso,exterior,2,54.0,1,0,Casco Histórico de Vallecas,Villa de Vallecas
990000,Piso,exterior,5,217.0,1,0,Fuente del Berro,Salamanca
850000,Piso,exterior,2,142.0,1,0,Palacio,Centro
2590000,Piso,exterior,4,290.0,1,0,Castellana,Salamanca
3300000,Casa,interior,6,1100.0,0,1,El Plantío,Moncloa-Aravaca
2290000,Ático,exterior,3,205.0,1,0,Recoletos,Salamanca
280500,Piso,interior,1,68.0,1,0,Universidad,Centro
285000,Piso,exterior,3,89.0,1,0,Fontarrón,Moratalaz
970000,Ático,exterior,2,230.0,1,0,Cortes,Centro
285000,Piso,interior,2,77.0,1,1,Casco Histórico de Vallecas,Villa de Vallecas
600000,Piso,exterior,3,90.0,1,0,Palacio,Centro
1100000,Dúplex,interior,3,135.0,1,0,Sol,Centro
310000,Piso,exterior,2,70.0,1,0,Barrio del Pilar,Fuencarral-El Pardo
2500000,Piso,exterior,3,348.0,1,0,Goya,Salamanca
2500000,Chalet,interior,5,545.0,0,1,Canillas,Hortaleza
2500000,Ático,exterior,3,250.0,1,0,Ibiza,Retiro
2500000,Chalet,interior,5,454.0,0,0,Aravaca,Moncloa-Aravaca
2500000,Piso,exterior,4,277.0,1,1,Argüelles,Moncloa-Aravaca
2500000,Casa,interior,7,200.0,0,0,Hispanoamérica,Chamartín
2500000,Piso,exterior,3,260.0,1,1,Argüelles,Moncloa-Aravaca
2500000,Ático,exterior,6,307.0,1,1,Almagro,Chamberí
439000,Piso,exterior,4,108.0,1,0,Los Cármenes,Latina
1680000,Casa,interior,5,414.0,0,1,Peñagrande,Fuencarral-El Pardo
980000,Piso,exterior,3,165.0,1,0,Cortes,Centro
795000,Piso,exterior,2,99.0,1,0,Palacio,Centro
750000,Piso,exterior,3,136.0,1,0,Palacio,Centro
1890000,Piso,exterior,4,211.0,1,0,El Viso,Chamartín
1890000,Piso,exterior,3,170.0,1,1,Recoletos,Salamanca
1890000,Ático,exterior,4,289.0,1,1,Mirasierra,Fuencarral-El Pardo
1890000,Piso,exterior,3,168.0,1,1,Recoletos,Salamanca
1380000,Piso,exterior,2,133.0,1,0,Goya,Salamanca
1380000,Piso,exterior,2,133.0,1,0,Goya,Salamanca
2510000,Piso,exterior,3,242.0,1,0,Justicia,Centro
1400000,Piso,exterior,1,135.0,1,0,Justicia,Centro
850000,Piso,exterior,2,82.0,1,0,Goya,Salamanca
425000,Piso,exterior,1,41.0,1,0,Recoletos,Salamanca
343990,Ático,exterior,2,64.0,1,0,Fuente del Berro,Salamanca
399000,Piso,exterior,4,110.0,1,0,Pinar del Rey,Hortaleza
539000,Piso,exterior,2,96.0,1,0,Justicia,Centro
