Area,rooms,floor,price,elevator,exterior,district
50.0,2,2.0,106000,False,True,Villaverde 21
114.0,4,2.0,229000,True,True,Villaverde 21
81.0,3,3.0,155000,True,True,Villaverde 21
91.0,2,5.0,228208,True,True,Villaverde 21
95.0,3,3.0,100000,False,True,Villaverde 21
80.0,3,0.0,140000,False,True,Villaverde 21
80.0,3,3.0,165000,True,True,Villaverde 21
60.0,2,5.0,73000,True,True,Villaverde 21
50.0,1,6.0,159000,True,True,Villaverde 21
136.0,3,1.0,135990,False,True,Villaverde 21
96.0,2,7.0,210000,True,True,Villaverde 21
71.0,2,2.0,198000,True,True,Villaverde 21
74.0,2,1.0,139900,False,True,Villaverde 21
65.0,2,2.0,110000,False,True,Villaverde 21
93.0,3,9.0,160000,True,True,Villaverde 21
75.0,3,2.0,103000,False,True,Villaverde 21
63.0,3,0.5,100000,False,False,Villaverde 21
63.0,2,2.0,82260,True,True,Villaverde 21
72.0,3,6.0,139400,True,True,Villaverde 21
100.0,2,0.0,154900,True,True,Villaverde 21
90.0,3,3.0,155000,True,True,Villaverde 21
66.0,3,2.0,88000,False,True,Villaverde 21
102.0,3,5.0,225000,True,True,Villaverde 21
105.0,2,6.0,189000,True,True,Villaverde 21
95.0,4,4.0,138000,False,True,Villaverde 21
120.0,3,2.0,195000,True,True,Villaverde 21
90.0,3,4.0,222000,True,True,Villaverde 21
64.0,3,0.0,80500,False,True,Villaverde 21
80.0,3,3.0,182000,True,True,Villaverde 21
120.0,3,2.0,295000,False,True,Villaverde 21
82.0,2,6.0,270000,True,True,Villaverde 21
81.0,3,3.0,116100,False,True,Villaverde 21
103.0,3,4.0,250000,True,True,Villaverde 21
63.0,3,4.0,79900,False,True,Villaverde 21
70.0,3,3.0,99000,True,True,Villaverde 21
45.0,2,3.0,105000,False,True,Villaverde 21
95.0,3,2.0,130000,False,True,Villaverde 21
70.0,3,2.0,120000,False,True,Villaverde 21
71.0,3,1.0,149000,True,True,Villaverde 21
70.0,3,3.0,135000,True,True,Villaverde 21
98.0,4,0.0,230000,True,True,Villaverde 21
55.0,3,2.0,91000,False,True,Villaverde 21
115.0,4,1.0,184900,False,True,Villaverde 21
68.0,3,4.0,83900,False,True,Villaverde 21
120.0,3,2.0,180000,False,True,Villaverde 21
64.0,3,1.0,76000,False,True,Villaverde 21
92.0,4,5.0,163000,True,True,Villaverde 21
