,sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,is_renewal_needed,built_year,has_lift,is_exterior,district
163,130.0,4,2.0,three,257000,False,1971.0,True,True,Villaverde 21
164,49.0,2,1.0,zero,84000,False,1969.0,True,True,Villaverde 21
165,151.0,3,2.0,six,314000,False,1971.0,True,True,Villaverde 21
166,69.0,3,1.0,four,107000,False,1961.0,False,True,Villaverde 21
167,170.0,3,2.0,eight,325000,False,2010.0,True,True,Villaverde 21
169,98.0,3,2.0,seven,284900,False,2001.0,True,True,Villaverde 21
170,50.0,1,1.0,seven,135000,False,2008.0,True,True,Villaverde 21
171,136.0,3,2.0,five,230000,False,1999.0,True,True,Villaverde 21
172,80.0,3,1.0,three,163000,False,1971.0,True,True,Villaverde 21
173,95.0,3,1.0,two,185000,False,1975.0,False,True,Villaverde 21
174,56.0,3,1.0,five,80000,True,1965.0,False,True,Villaverde 21
175,43.0,1,1.0,zero,84000,False,1971.0,False,True,Villaverde 21
176,72.0,3,1.0,three,119900,True,1971.0,True,True,Villaverde 21
177,100.0,4,2.0,one,154900,False,1971.0,True,True,Villaverde 21
178,70.0,3,1.0,four,119900,True,1971.0,True,True,Villaverde 21
179,60.0,2,1.0,zero,79900,False,1971.0,False,True,Villaverde 21
180,60.0,2,1.0,two,79900,False,1971.0,False,True,Villaverde 21
181,91.0,3,2.0,three,129900,False,1971.0,False,True,Villaverde 21
182,74.0,3,1.0,two,99900,True,1971.0,False,True,Villaverde 21
183,110.0,3,2.0,five,275000,False,1971.0,True,True,Villaverde 21
184,83.0,3,1.0,three,91500,False,1966.0,False,True,Villaverde 21
186,65.0,2,1.0,mezzanine,86860,True,1982.0,False,True,Villaverde 21
187,58.0,3,1.0,three,105000,False,1966.0,False,True,Villaverde 21
188,115.0,3,2.0,six,216000,False,2001.0,True,True,Villaverde 21
189,82.0,3,1.0,four,120000,False,1960.0,False,True,Villaverde 21
190,83.0,3,1.0,zero,135000,False,1985.0,True,True,Villaverde 21
191,90.0,2,1.0,zero,212000,False,2002.0,True,True,Villaverde 21
192,95.0,2,2.0,five,184000,False,2011.0,True,True,Villaverde 21
193,89.0,3,1.0,zero,160000,False,1971.0,False,True,Villaverde 21
194,178.0,4,2.0,five,299990,False,1971.0,True,True,Villaverde 21
195,59.0,2,1.0,two,117000,False,1971.0,False,True,Villaverde 21
196,100.0,4,1.0,zero,165000,False,1971.0,True,True,Villaverde 21
197,68.0,3,1.0,four,95000,True,1971.0,False,True,Villaverde 21
198,50.0,2,1.0,two,106000,False,1971.0,False,True,Villaverde 21
199,114.0,4,2.0,two,229000,False,1987.0,True,True,Villaverde 21
200,81.0,3,2.0,three,155000,False,1999.0,True,True,Villaverde 21
201,91.0,2,2.0,five,228208,False,2020.0,True,True,Villaverde 21
202,95.0,3,1.0,three,100000,True,1970.0,False,True,Villaverde 21
203,80.0,3,1.0,zero,140000,False,1971.0,False,True,Villaverde 21
205,80.0,3,1.0,three,165000,False,1977.0,True,True,Villaverde 21
206,60.0,2,1.0,five,73000,False,1960.0,True,True,Villaverde 21
207,50.0,1,1.0,six,159000,False,2007.0,True,True,Villaverde 21
208,136.0,3,1.0,one,135990,False,1967.0,False,True,Villaverde 21
209,96.0,2,2.0,seven,210000,False,2001.0,True,True,Villaverde 21
210,71.0,2,2.0,two,198000,False,2001.0,True,True,Villaverde 21
211,74.0,2,1.0,one,139900,False,1966.0,False,True,Villaverde 21
212,65.0,2,1.0,two,110000,False,1962.0,False,True,Villaverde 21
213,93.0,3,1.0,nine,160000,True,1976.0,True,True,Villaverde 21
214,75.0,3,1.0,two,103000,False,1968.0,False,True,Villaverde 21
215,63.0,3,1.0,mezzanine,100000,True,1971.0,False,False,Villaverde 21
218,63.0,2,1.0,two,82260,False,1971.0,True,True,Villaverde 21
219,72.0,3,1.0,six,139400,False,1961.0,True,True,Villaverde 21
220,100.0,2,2.0,zero,154900,False,1971.0,True,True,Villaverde 21
221,90.0,3,2.0,three,155000,False,1998.0,True,True,Villaverde 21
222,66.0,3,1.0,two,88000,False,1971.0,False,True,Villaverde 21
223,102.0,3,2.0,five,225000,False,1971.0,True,True,Villaverde 21
224,105.0,2,1.0,six,189000,False,1995.0,True,True,Villaverde 21
225,95.0,4,1.0,four,138000,False,1971.0,False,True,Villaverde 21
226,120.0,3,1.0,two,195000,False,1962.0,True,True,Villaverde 21
227,90.0,3,2.0,four,222000,False,2001.0,True,True,Villaverde 21
228,64.0,3,1.0,zero,80500,True,1971.0,False,True,Villaverde 21
229,80.0,3,1.0,three,182000,False,1974.0,True,True,Villaverde 21
230,120.0,3,2.0,two,295000,False,2003.0,False,True,Villaverde 21
231,82.0,2,2.0,six,270000,False,1971.0,True,True,Villaverde 21
232,81.0,3,1.0,three,116100,False,1971.0,False,True,Villaverde 21
233,103.0,3,2.0,four,250000,False,1971.0,True,True,Villaverde 21
234,63.0,3,1.0,four,79900,False,1971.0,False,True,Villaverde 21
235,70.0,3,1.0,three,99000,False,1971.0,True,True,Villaverde 21
237,45.0,2,1.0,three,105000,False,1960.0,False,True,Villaverde 21
238,95.0,3,1.0,two,130000,False,1985.0,False,True,Villaverde 21
239,70.0,3,1.0,two,120000,True,1971.0,False,True,Villaverde 21
240,71.0,3,1.0,one,149000,False,1970.0,True,True,Villaverde 21
241,70.0,3,1.0,three,135000,True,1969.0,True,True,Villaverde 21
242,98.0,4,2.0,zero,230000,False,1977.0,True,True,Villaverde 21
243,55.0,3,1.0,two,91000,False,1971.0,False,True,Villaverde 21
244,115.0,4,1.0,one,184900,False,1971.0,False,True,Villaverde 21
246,68.0,3,1.0,four,83900,False,1971.0,False,True,Villaverde 21
247,120.0,3,1.0,two,180000,False,1971.0,False,True,Villaverde 21
248,64.0,3,1.0,one,76000,True,1971.0,False,True,Villaverde 21
249,92.0,4,1.0,five,163000,False,1971.0,True,True,Villaverde 21
250,154.0,3,2.0,three,280000,False,1971.0,True,True,Villaverde 21
251,105.0,3,2.0,zero,180000,False,1971.0,False,True,Villaverde 21
252,70.0,2,1.0,zero,128000,False,1965.0,False,True,Villaverde 21
253,93.0,3,1.0,two,166200,False,1972.0,True,True,Villaverde 21
255,86.0,3,1.0,four,129000,False,1984.0,True,False,Villaverde 21
256,75.0,3,2.0,one,132000,False,1961.0,False,True,Villaverde 21
257,85.0,3,1.0,zero,135000,False,1969.0,False,True,Villaverde 21
258,65.0,2,1.0,zero,99000,False,1950.0,False,True,Villaverde 21
260,68.0,3,1.0,two,88000,False,1971.0,False,True,Villaverde 21
261,75.0,3,1.0,five,110000,False,1971.0,False,False,Villaverde 21
262,83.0,2,1.0,one,146000,False,2003.0,True,True,Villaverde 21
263,95.0,3,1.0,zero,112000,True,1971.0,False,False,Villaverde 21
264,30.0,1,1.0,zero,59000,False,1960.0,False,True,Villaverde 21
265,53.0,1,1.0,six,146000,False,1971.0,True,True,Villaverde 21
267,153.0,4,2.0,one,178000,False,1999.0,True,True,Villaverde 21
269,66.0,2,1.0,two,96000,False,1971.0,False,True,Villaverde 21
270,63.0,3,1.0,four,82000,False,1960.0,False,True,Villaverde 21
272,95.0,3,1.0,zero,199000,False,1966.0,False,True,Villaverde 21
273,65.0,2,1.0,two,232000,False,1971.0,True,True,Villaverde 21
274,69.0,2,1.0,one,240000,False,1971.0,True,True,Villaverde 21
277,90.0,3,2.0,four,172000,False,1971.0,True,True,Villaverde 21
278,60.0,3,1.0,two,82260,False,1971.0,True,True,Villaverde 21
279,65.0,2,1.0,zero,109000,False,1950.0,True,True,Villaverde 21
280,115.0,4,1.0,one,133000,False,1971.0,True,True,Villaverde 21
281,83.0,3,2.0,one,111000,True,1971.0,True,True,Villaverde 21
282,55.0,2,1.0,two,110000,False,1971.0,False,True,Villaverde 21
283,80.0,2,2.0,one,179990,False,2003.0,True,True,Villaverde 21
284,68.0,3,1.0,one,156000,False,1971.0,False,True,Villaverde 21
285,89.0,2,2.0,one,228000,False,1971.0,True,True,Villaverde 21
286,61.0,3,1.0,four,89000,False,1960.0,False,True,Villaverde 21
288,68.0,3,1.0,two,94000,False,1971.0,False,True,Villaverde 21
289,92.0,3,2.0,four,175000,False,1962.0,True,True,Villaverde 21
290,70.0,3,1.0,two,90000,False,1971.0,False,True,Villaverde 21
291,63.0,3,1.0,one,167000,False,1966.0,True,True,Villaverde 21
