sq_mt_built,n_rooms,n_bathrooms,is_exact_address_hidden,floor,is_floor_under,rent_price,is_rent_price_known,buy_price,buy_price_by_area,is_buy_price_known,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_terrace,has_storage_room,energy_certificate,has_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,neighborhood,District,HouseType
51.0,2,1.0,1,3,0.0,492,0,89500,1755,1,1,0.0,1967.0,,,,,0.0,1.0,1.0,,in process,0,,,0.0,0.0,0.0,1.0,Los Rosales 133,Villaverde 21,Piso
112.0,3,2.0,0,3,0.0,1172,0,289000,2580,1,0,0.0,2013.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,E,1,1.0,0.0,0.0,0.0,1.0,0.0,Butarque 131,Villaverde 21,Piso
109.0,3,2.0,0,2,0.0,968,0,216278,1984,1,0,1.0,,0.0,1.0,,,1.0,1.0,1.0,1.0,not indicated,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Piso
107.0,3,2.0,0,1,0.0,940,0,207503,1939,1,0,1.0,,0.0,1.0,,,1.0,1.0,1.0,1.0,not indicated,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Piso
76.0,2,2.0,0,3,0.0,790,0,162793,2142,1,0,1.0,,0.0,1.0,,,1.0,1.0,,1.0,not indicated,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Piso
105.0,3,2.0,0,1,0.0,933,0,204999,1952,1,0,1.0,,0.0,1.0,,,1.0,1.0,1.0,1.0,not indicated,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Piso
109.0,3,2.0,0,4,0.0,982,0,220879,2026,1,0,1.0,,0.0,1.0,,,1.0,1.0,1.0,1.0,not indicated,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Piso
108.0,3,2.0,0,4,0.0,974,0,218258,2021,1,0,1.0,,0.0,1.0,,,1.0,1.0,1.0,1.0,not indicated,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Piso
109.0,3,2.0,0,Bajo,1.0,1014,0,231855,2127,1,0,1.0,,0.0,1.0,,,1.0,1.0,1.0,1.0,not indicated,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Piso
76.0,2,2.0,0,4,0.0,793,0,163397,2150,1,0,1.0,,0.0,1.0,,,1.0,1.0,,1.0,not indicated,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Piso
76.0,2,2.0,0,2,0.0,783,0,160759,2115,1,0,1.0,,0.0,1.0,,,1.0,1.0,,1.0,not indicated,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Piso
108.0,3,2.0,0,3,0.0,970,0,217169,2011,1,0,1.0,,0.0,1.0,,,1.0,1.0,1.0,1.0,not indicated,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Piso
76.0,2,2.0,0,5,0.0,799,0,165208,2174,1,0,1.0,,0.0,1.0,,,1.0,1.0,,1.0,not indicated,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Piso
109.0,3,2.0,0,3,0.0,978,0,219775,2016,1,0,1.0,,0.0,1.0,,,1.0,1.0,1.0,1.0,not indicated,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Piso
108.0,3,2.0,0,Bajo,1.0,1011,0,230817,2137,1,0,1.0,,0.0,1.0,,,1.0,1.0,1.0,1.0,not indicated,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Piso
108.0,3,2.0,0,2,0.0,960,0,213722,1979,1,0,1.0,,0.0,1.0,,,1.0,1.0,1.0,1.0,not indicated,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Piso
111.0,2,2.0,0,6,0.0,1011,0,230749,2079,1,0,1.0,,,,,,1.0,1.0,1.0,1.0,not indicated,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Ático
115.0,3,2.0,0,2,0.0,1020,0,233789,2033,1,0,1.0,,,,,,1.0,1.0,,1.0,not indicated,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Piso
115.0,3,2.0,0,1,0.0,1011,0,230789,2007,1,0,1.0,,,,,,1.0,1.0,,1.0,not indicated,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Piso
117.0,3,2.0,0,1,0.0,1050,0,244171,2087,1,0,1.0,,,,,,1.0,1.0,1.0,1.0,not indicated,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Piso
117.0,3,2.0,0,1,0.0,1048,0,243468,2081,1,0,1.0,,,,,,1.0,1.0,1.0,1.0,not indicated,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Piso
117.0,3,2.0,0,1,0.0,1052,0,244798,2092,1,0,1.0,,,,,,1.0,1.0,1.0,1.0,not indicated,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Piso
118.0,3,2.0,0,1,0.0,977,0,219235,1858,1,0,1.0,,,,,,1.0,1.0,,1.0,not indicated,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Piso
115.0,3,2.0,0,5,0.0,1046,0,242789,2111,1,0,1.0,,,,,,1.0,1.0,,1.0,not indicated,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Piso
97.0,4,1.0,0,3,0.0,666,0,130000,1340,1,0,,1970.0,,,,,0.0,,,,E,0,,,,,,,San Andrés 134,Villaverde 21,Piso
106.0,3,2.0,0,3,0.0,1071,0,251569,2373,1,0,1.0,,,,,,1.0,1.0,1.0,,not indicated,0,,,,,,,Butarque 131,Villaverde 21,Piso
103.0,3,2.0,0,3,0.0,1025,0,235402,2285,1,0,1.0,,,,,,1.0,1.0,1.0,,not indicated,0,,,,,,,Butarque 131,Villaverde 21,Piso
103.0,3,2.0,0,1,0.0,1024,0,235172,2283,1,0,1.0,,,,,,1.0,1.0,1.0,,not indicated,0,,,,,,,Butarque 131,Villaverde 21,Piso
103.0,3,2.0,0,5,0.0,1027,0,236227,2293,1,0,1.0,,,,,,1.0,1.0,1.0,,not indicated,0,,,,,,,Butarque 131,Villaverde 21,Piso
114.0,3,2.0,0,2,0.0,1080,0,254710,2234,1,0,1.0,,,,,,1.0,1.0,1.0,,not indicated,0,,,,,,,Butarque 131,Villaverde 21,Piso
150.0,2,1.0,0,,0.0,777,0,159000,1060,1,1,0.0,1993.0,0.0,1.0,,,,,1.0,1.0,F,1,1.0,0.0,,,,,San Andrés 134,Villaverde 21,Chalet
140.0,3,3.0,0,7,0.0,1128,0,272500,1946,1,0,0.0,2004.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,0,,,0.0,0.0,1.0,0.0,Butarque 131,Villaverde 21,Dúplex
58.0,3,1.0,1,2,0.0,471,0,85000,1466,1,0,0.0,1951.0,,,1.0,,0.0,1.0,,,E,0,,,,,,,Los Rosales 133,Villaverde 21,Piso
65.0,3,1.0,1,1,0.0,512,0,94000,1446,1,0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,,in process,0,,,0.0,0.0,0.0,1.0,San Cristóbal 135,Villaverde 21,Piso
110.0,4,2.0,1,1,0.0,833,0,175000,1591,1,0,0.0,1978.0,0.0,1.0,,1.0,0.0,1.0,1.0,,E,0,,,,,,,Los Rosales 133,Villaverde 21,Piso
173.0,4,2.0,1,2,0.0,1116,0,268000,1549,1,0,0.0,2003.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,in process,1,1.0,0.0,1.0,0.0,1.0,0.0,Butarque 131,Villaverde 21,Piso
75.0,2,1.0,1,3,0.0,766,0,156000,2080,1,0,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,in process,0,,,,,,,San Andrés 134,Villaverde 21,Ático
90.0,1,1.0,0,7,0.0,861,0,183159,2035,1,0,1.0,,,,,,1.0,1.0,1.0,1.0,not indicated,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Ático
125.0,3,2.0,0,1,0.0,948,0,210000,1680,1,0,0.0,1996.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,B,1,1.0,0.0,,,,,Los Rosales 133,Villaverde 21,Piso
58.0,2,1.0,1,Bajo,1.0,471,0,85000,1466,1,0,0.0,1968.0,,,,,0.0,1.0,,,in process,0,,,,,,,San Andrés 134,Villaverde 21,Piso
92.0,3,1.0,1,6,0.0,780,0,159900,1738,1,0,0.0,1962.0,0.0,1.0,1.0,,1.0,1.0,1.0,,in process,0,,,,,,,Los Ángeles 132,Villaverde 21,Piso
70.0,2,1.0,0,3,0.0,613,0,117000,1671,1,0,0.0,1975.0,0.0,1.0,1.0,1.0,0.0,1.0,,,in process,0,,,1.0,0.0,1.0,0.0,San Andrés 134,Villaverde 21,Piso
54.0,2,1.0,0,2,0.0,583,0,110000,2037,1,0,0.0,1960.0,0.0,1.0,,,0.0,1.0,,,E,0,,,0.0,0.0,1.0,0.0,San Andrés 134,Villaverde 21,Piso
52.0,2,1.0,1,1,0.0,539,0,100000,1923,1,0,0.0,,,,,,0.0,1.0,,,E,0,,,,,,,Los Rosales 133,Villaverde 21,Piso
108.0,3,1.0,1,2,0.0,705,0,140000,1296,1,0,0.0,1995.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,,in process,0,,,0.0,1.0,0.0,1.0,San Andrés 134,Villaverde 21,Piso
65.0,2,1.0,1,3,0.0,568,0,106500,1638,1,0,0.0,1963.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,,not indicated,0,,,0.0,0.0,1.0,0.0,Los Rosales 133,Villaverde 21,Piso
102.0,3,2.0,1,3,0.0,656,0,127500,1250,1,0,0.0,1964.0,0.0,1.0,,,0.0,1.0,1.0,,in process,0,,,0.0,1.0,0.0,0.0,Los Rosales 133,Villaverde 21,Piso
80.0,2,1.0,1,3,0.0,736,0,148000,1850,1,0,0.0,1999.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,in process,1,1.0,0.0,0.0,0.0,0.0,1.0,San Andrés 134,Villaverde 21,Piso
108.0,2,1.0,1,4,0.0,933,0,205000,1898,1,0,0.0,2002.0,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,E,1,1.0,0.0,0.0,0.0,0.0,1.0,Butarque 131,Villaverde 21,Dúplex
80.0,3,2.0,1,4,0.0,979,0,220000,2750,1,0,0.0,2000.0,0.0,1.0,1.0,1.0,1.0,1.0,,,E,1,1.0,0.0,0.0,0.0,1.0,1.0,Los Rosales 133,Villaverde 21,Piso
16.0,3,1.0,1,1,0.0,600,0,114000,7125,1,0,0.0,1970.0,0.0,1.0,,,0.0,1.0,,,E,0,,,0.0,0.0,1.0,1.0,Los Rosales 133,Villaverde 21,Piso
54.0,2,1.0,1,3,0.0,493,0,89900,1665,1,0,0.0,1964.0,,,,1.0,0.0,1.0,1.0,,G,0,,,0.0,0.0,1.0,1.0,San Andrés 134,Villaverde 21,Piso
70.0,2,2.0,1,4,0.0,948,0,210000,3000,1,0,0.0,2003.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,E,1,1.0,0.0,0.0,1.0,1.0,0.0,Los Rosales 133,Villaverde 21,Piso
99.0,2,2.0,1,Entreplanta exterior,1.0,725,0,145000,1465,1,0,0.0,2007.0,0.0,1.0,,1.0,1.0,1.0,,,E,0,,,0.0,1.0,1.0,0.0,San Andrés 134,Villaverde 21,Piso
123.0,4,2.0,1,3,0.0,1135,0,275000,2236,1,0,,,,,1.0,,1.0,1.0,1.0,,not indicated,0,,,,,,,Los Rosales 133,Villaverde 21,Piso
64.0,3,1.0,1,5,0.0,557,0,104000,1625,1,0,0.0,,0.0,1.0,1.0,,0.0,1.0,,,in process,0,,,,,,,Los Ángeles 132,Villaverde 21,Piso
107.0,3,2.0,0,6,0.0,1005,0,228629,2137,1,0,1.0,,0.0,1.0,,,1.0,1.0,1.0,1.0,not indicated,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Piso
76.0,2,2.0,0,6,0.0,813,0,169021,2224,1,0,1.0,,0.0,1.0,,,1.0,1.0,,1.0,not indicated,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Piso
109.0,3,2.0,0,5,0.0,988,0,223022,2046,1,0,1.0,,0.0,1.0,,,1.0,1.0,1.0,1.0,not indicated,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Piso
108.0,3,2.0,0,5,0.0,979,0,220072,2038,1,0,1.0,,0.0,1.0,,,1.0,1.0,1.0,1.0,not indicated,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Piso
103.0,3,2.0,0,6,0.0,1026,0,235718,2289,1,0,1.0,,,,,,1.0,1.0,1.0,,not indicated,0,,,,,,,Butarque 131,Villaverde 21,Piso
103.0,3,2.0,0,1,0.0,1052,0,245000,2379,1,0,1.0,,,,,,1.0,1.0,,1.0,not indicated,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Piso
143.0,3,2.0,0,Bajo,1.0,1094,0,260000,1818,1,0,1.0,,,,,,1.0,1.0,,1.0,not indicated,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Piso
99.0,3,2.0,0,6,0.0,1024,0,235000,2374,1,0,1.0,,,,,,1.0,1.0,,1.0,not indicated,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Piso
100.0,3,2.0,0,3,0.0,1024,0,235000,2350,1,0,1.0,,,,,,1.0,1.0,,1.0,not indicated,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Piso
176.0,2,2.0,0,6,0.0,1108,0,265000,1506,1,0,1.0,,,,,,1.0,1.0,,1.0,not indicated,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Piso
87.0,2,2.0,0,2,0.0,884,0,190000,2184,1,0,1.0,,,,,,1.0,1.0,,1.0,not indicated,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Piso
106.0,3,2.0,0,4,0.0,1084,0,256115,2416,1,0,1.0,,,,,,1.0,1.0,1.0,,not indicated,0,,,,,,,Butarque 131,Villaverde 21,Piso
113.0,3,2.0,0,Bajo,1.0,1100,0,261989,2318,1,0,1.0,,,,,,1.0,1.0,1.0,,not indicated,0,,,,,,,Butarque 131,Villaverde 21,Piso
115.0,3,2.0,0,1,0.0,1131,0,273353,2377,1,0,1.0,,,,,,1.0,1.0,1.0,,not indicated,0,,,,,,,Butarque 131,Villaverde 21,Piso
129.0,3,2.0,0,7,0.0,1194,0,297621,2307,1,0,1.0,,,,,,1.0,1.0,1.0,,not indicated,0,,,,,,,Butarque 131,Villaverde 21,Piso
115.0,3,2.0,0,6,0.0,1148,0,279778,2433,1,0,1.0,,,,,,1.0,1.0,1.0,,not indicated,0,,,,,,,Butarque 131,Villaverde 21,Piso
110.0,2,2.0,1,Bajo,1.0,686,0,135000,1227,1,1,0.0,,0.0,1.0,1.0,,0.0,1.0,1.0,1.0,in process,0,,,,,,,San Andrés 134,Villaverde 21,Piso
90.0,3,2.0,0,2,0.0,901,0,195000,2167,1,0,0.0,1985.0,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,in process,0,,,,,,,Los Ángeles 132,Villaverde 21,Piso
60.0,2,1.0,1,1,0.0,654,0,126900,2115,1,1,0.0,,,,,,0.0,1.0,,,G,0,,,,,,,Los Rosales 133,Villaverde 21,Piso
54.0,2,1.0,0,,,691,0,136400,2526,1,0,,,,,,,0.0,,1.0,,E,0,,,,,,,Los Ángeles 132,Villaverde 21,Piso
80.0,3,1.0,0,Bajo,1.0,725,0,145000,1812,1,0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,,in process,0,,,0.0,0.0,0.0,1.0,San Andrés 134,Villaverde 21,Piso
73.0,2,1.0,1,1,0.0,656,0,127500,1747,1,0,0.0,1999.0,0.0,1.0,,1.0,1.0,1.0,,,G,0,,,0.0,1.0,0.0,1.0,San Andrés 134,Villaverde 21,Piso
122.0,3,2.0,1,Bajo,1.0,847,0,179000,1467,1,0,0.0,1999.0,0.0,1.0,,,1.0,1.0,,,in process,1,1.0,0.0,0.0,1.0,1.0,0.0,San Andrés 134,Villaverde 21,Piso
