price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district,sports_centers,social_wellness_index,urban_mobility_index,education_index,employment_index,health_index,kmean_cluster
160000,planta 4,exterior,3,72.0,1,0,Abrantes,carabanchel,0.0,8.58,5.73,13.05,10.92,6.22,0
193000,planta 3,exterior,3,83.0,0,0,Comillas,carabanchel,0.0,8.75,7.77,12.57,10.92,6.06,0
285000,planta 3,exterior,3,87.0,1,0,Comillas,carabanchel,0.0,8.75,7.77,12.57,10.92,6.06,0
185000,planta 2,exterior,3,83.0,0,0,Abrantes,carabanchel,0.0,8.58,5.73,13.05,10.92,6.22,0
239000,planta 1,exterior,4,103.0,0,0,San Isidro,carabanchel,1.0,8.75,6.64,11.27,10.92,6.67,0
175000,planta 9,exterior,3,77.0,1,0,Abrantes,carabanchel,0.0,8.58,5.73,13.05,10.92,6.22,0
110000,planta 3,exterior,2,49.0,0,0,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
165000,planta 2,exterior,2,66.0,0,0,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
179000,planta 2,interior,3,66.0,0,0,Opañel,carabanchel,0.0,8.67,9.53,10.68,10.92,6.48,0
136000,planta 4,exterior,1,46.0,1,1,Buenavista,carabanchel,1.0,8.89,8.35,10.42,10.92,5.82,0
195000,planta 1,exterior,2,94.0,0,0,Puerta Bonita,carabanchel,0.0,10.73,11.03,11.35,10.92,7.35,0
400000,planta 4,exterior,4,135.0,1,0,Abrantes,carabanchel,0.0,8.58,5.73,13.05,10.92,6.22,0
144900,bajo,exterior,3,79.0,0,1,San Isidro,carabanchel,1.0,8.75,6.64,11.27,10.92,6.67,0
219000,planta 1,exterior,1,86.0,1,1,Buenavista,carabanchel,1.0,8.89,8.35,10.42,10.92,5.82,0
165000,planta 2,interior,2,66.0,0,0,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
119900,bajo,interior,2,38.0,1,0,Comillas,carabanchel,0.0,8.75,7.77,12.57,10.92,6.06,0
210000,planta 5,exterior,3,63.0,1,0,Opañel,carabanchel,0.0,8.67,9.53,10.68,10.92,6.48,0
128000,bajo,exterior,3,51.0,0,0,Puerta Bonita,carabanchel,0.0,10.73,11.03,11.35,10.92,7.35,0
178000,planta 3,exterior,3,75.0,0,0,Opañel,carabanchel,0.0,8.67,9.53,10.68,10.92,6.48,0
250000,planta 1,exterior,2,100.0,1,1,Puerta Bonita,carabanchel,0.0,10.73,11.03,11.35,10.92,7.35,0
175000,planta 2,exterior,3,75.0,0,0,Buenavista,carabanchel,1.0,8.89,8.35,10.42,10.92,5.82,0
153000,planta 2,exterior,3,64.0,0,0,San Isidro,carabanchel,1.0,8.75,6.64,11.27,10.92,6.67,0
185000,planta 2,interior,3,76.0,1,0,Opañel,carabanchel,0.0,8.67,9.53,10.68,10.92,6.48,0
315000,planta 2,exterior,3,122.0,1,1,Puerta Bonita,carabanchel,0.0,10.73,11.03,11.35,10.92,7.35,0
115000,bajo,exterior,2,47.0,1,0,Opañel,carabanchel,0.0,8.67,9.53,10.68,10.92,6.48,0
142000,planta 3,exterior,3,71.0,0,0,Puerta Bonita,carabanchel,0.0,10.73,11.03,11.35,10.92,7.35,0
75000,bajo,exterior,2,46.0,0,0,San Isidro,carabanchel,1.0,8.75,6.64,11.27,10.92,6.67,0
115000,bajo,exterior,2,55.0,0,0,Opañel,carabanchel,0.0,8.67,9.53,10.68,10.92,6.48,0
179000,planta 1,exterior,2,77.0,1,0,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
161000,planta 1,exterior,3,68.0,0,0,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
137000,planta 1,exterior,2,65.0,0,0,Opañel,carabanchel,0.0,8.67,9.53,10.68,10.92,6.48,0
379000,planta 1,exterior,4,136.0,1,1,Puerta Bonita,carabanchel,0.0,10.73,11.03,11.35,10.92,7.35,0
399000,planta 5,exterior,4,126.0,1,1,Abrantes,carabanchel,0.0,8.58,5.73,13.05,10.92,6.22,0
140500,planta 1,exterior,3,74.0,0,0,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
105000,planta 3,exterior,2,60.0,0,0,Abrantes,carabanchel,0.0,8.58,5.73,13.05,10.92,6.22,0
118200,planta 1,exterior,1,56.0,1,0,San Isidro,carabanchel,1.0,8.75,6.64,11.27,10.92,6.67,0
180500,planta 3,exterior,3,92.0,0,0,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
180500,planta 3,exterior,3,86.0,0,0,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
167000,bajo,exterior,2,70.0,0,0,Comillas,carabanchel,0.0,8.75,7.77,12.57,10.92,6.06,0
195000,planta 2,exterior,3,93.0,0,0,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
169000,planta 6,exterior,3,75.0,1,0,Opañel,carabanchel,0.0,8.67,9.53,10.68,10.92,6.48,0
375000,planta 3,exterior,3,112.0,1,1,San Isidro,carabanchel,1.0,8.75,6.64,11.27,10.92,6.67,0
285000,bajo,exterior,2,90.0,1,0,Comillas,carabanchel,0.0,8.75,7.77,12.57,10.92,6.06,0
170000,planta 5,exterior,2,73.0,1,0,Puerta Bonita,carabanchel,0.0,10.73,11.03,11.35,10.92,7.35,0
159900,planta 1,interior,2,71.0,1,0,San Isidro,carabanchel,1.0,8.75,6.64,11.27,10.92,6.67,0
195000,planta 6,exterior,1,39.0,1,1,Puerta Bonita,carabanchel,0.0,10.73,11.03,11.35,10.92,7.35,0
105000,bajo,exterior,2,53.0,0,0,San Isidro,carabanchel,1.0,8.75,6.64,11.27,10.92,6.67,0
185000,bajo,exterior,1,54.0,1,1,Opañel,carabanchel,0.0,8.67,9.53,10.68,10.92,6.48,0
148000,planta 3,exterior,2,70.0,0,0,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
165000,bajo,exterior,3,60.0,0,0,Comillas,carabanchel,0.0,8.75,7.77,12.57,10.92,6.06,0
340000,planta 8,exterior,3,92.0,1,0,Abrantes,carabanchel,0.0,8.58,5.73,13.05,10.92,6.22,0
485000,planta 5,exterior,2,147.0,1,1,Puerta Bonita,carabanchel,0.0,10.73,11.03,11.35,10.92,7.35,0
200000,planta 4,exterior,3,97.0,1,0,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
167000,planta 2,exterior,2,68.0,0,0,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
150000,planta 4,exterior,2,70.0,1,0,Puerta Bonita,carabanchel,0.0,10.73,11.03,11.35,10.92,7.35,0
117000,bajo,interior,2,50.0,0,0,San Isidro,carabanchel,1.0,8.75,6.64,11.27,10.92,6.67,0
129000,planta 2,exterior,2,67.0,0,0,Puerta Bonita,carabanchel,0.0,10.73,11.03,11.35,10.92,7.35,0
439000,planta 3,exterior,4,176.0,1,1,Opañel,carabanchel,0.0,8.67,9.53,10.68,10.92,6.48,0
289000,bajo,exterior,3,115.0,0,0,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
209900,planta 1,exterior,1,61.0,1,1,San Isidro,carabanchel,1.0,8.75,6.64,11.27,10.92,6.67,0
120000,planta 2,exterior,2,64.0,0,0,Buenavista,carabanchel,1.0,8.89,8.35,10.42,10.92,5.82,0
265000,bajo,exterior,3,104.0,1,0,Comillas,carabanchel,0.0,8.75,7.77,12.57,10.92,6.06,0
170000,planta 1,exterior,2,65.0,0,0,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
198000,bajo,exterior,1,85.0,0,0,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
170000,bajo,exterior,1,62.0,0,0,Buenavista,carabanchel,1.0,8.89,8.35,10.42,10.92,5.82,0
228000,planta 4,exterior,2,70.0,1,0,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
183000,planta 1,exterior,3,66.0,1,0,Comillas,carabanchel,0.0,8.75,7.77,12.57,10.92,6.06,0
179000,planta 1,exterior,2,79.0,0,0,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
142000,planta 1,exterior,2,54.0,0,0,Comillas,carabanchel,0.0,8.75,7.77,12.57,10.92,6.06,0
435000,planta 5,exterior,4,135.0,1,1,Abrantes,carabanchel,0.0,8.58,5.73,13.05,10.92,6.22,0
120000,planta 2,exterior,2,60.0,0,0,Buenavista,carabanchel,1.0,8.89,8.35,10.42,10.92,5.82,0
148000,planta 5,exterior,2,58.0,0,0,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
190000,planta 5,exterior,2,70.0,1,0,Opañel,carabanchel,0.0,8.67,9.53,10.68,10.92,6.48,0
115000,planta 1,interior,2,37.0,0,0,San Isidro,carabanchel,1.0,8.75,6.64,11.27,10.92,6.67,0
