price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district,parking_spaces,education_centers,sports_centers,social_wellness_index,urban_mobility_index,education_index,employment_index,health_index
155000,planta 1,interior,1,53.0,1,0,Chopera,arganzuela,1042.0,15.0,0.0,5.86,7.05,4.66,6.68,6.66
309000,planta 1,exterior,3,80.0,1,0,Delicias,arganzuela,512.0,14.0,1.0,6.35,7.14,6.22,5.81,6.34
390000,planta 7,exterior,2,85.0,1,0,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
190000,planta 1,exterior,3,53.0,1,0,Chopera,arganzuela,1042.0,15.0,0.0,5.86,7.05,4.66,6.68,6.66
340000,planta 5,interior,2,57.0,1,0,Acacias,arganzuela,1389.0,15.0,1.0,5.93,5.61,6.33,5.05,5.71
165000,bajo,interior,1,30.0,1,0,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
455000,planta 12,exterior,3,105.0,1,0,Acacias,arganzuela,1389.0,15.0,1.0,5.93,5.61,6.33,5.05,5.71
225000,planta 3,interior,2,58.0,0,0,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
498000,planta 5,exterior,3,143.0,1,1,Imperial,arganzuela,1026.0,6.0,1.0,5.81,5.36,6.37,5.14,5.73
335000,planta 1,exterior,1,61.0,1,1,Acacias,arganzuela,1389.0,15.0,1.0,5.93,5.61,6.33,5.05,5.71
340000,planta 5,exterior,1,60.0,1,1,Acacias,arganzuela,1389.0,15.0,1.0,5.93,5.61,6.33,5.05,5.71
240000,bajo,interior,1,54.0,1,0,Acacias,arganzuela,1389.0,15.0,1.0,5.93,5.61,6.33,5.05,5.71
450000,planta 12,exterior,3,98.0,1,0,Legazpi,arganzuela,0.0,6.0,1.0,6.38,4.52,5.81,4.57,7.24
348000,planta 2,exterior,1,60.0,1,1,Acacias,arganzuela,1389.0,15.0,1.0,5.93,5.61,6.33,5.05,5.71
355000,planta 6,exterior,3,82.0,1,0,Acacias,arganzuela,1389.0,15.0,1.0,5.93,5.61,6.33,5.05,5.71
525000,planta 4,exterior,4,136.0,1,0,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
390000,planta 1,exterior,3,107.0,1,0,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
499000,planta 7,exterior,2,102.0,1,0,Imperial,arganzuela,1026.0,6.0,1.0,5.81,5.36,6.37,5.14,5.73
144800,sotano,interior,2,40.0,0,0,Delicias,arganzuela,512.0,14.0,1.0,6.35,7.14,6.22,5.81,6.34
280000,planta 2,interior,3,73.0,1,0,Chopera,arganzuela,1042.0,15.0,0.0,5.86,7.05,4.66,6.68,6.66
313000,planta 1,exterior,2,67.0,1,0,Imperial,arganzuela,1026.0,6.0,1.0,5.81,5.36,6.37,5.14,5.73
190000,planta 3,interior,2,44.0,1,0,Chopera,arganzuela,1042.0,15.0,0.0,5.86,7.05,4.66,6.68,6.66
900000,planta 4,exterior,8,254.0,1,0,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
219000,planta 1,interior,2,53.0,1,0,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
168800,planta 1,interior,2,37.0,1,0,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
698000,planta 1,exterior,4,130.0,1,1,Acacias,arganzuela,1389.0,15.0,1.0,5.93,5.61,6.33,5.05,5.71
610000,planta 3,exterior,3,131.0,1,0,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
299000,planta 4,interior,3,76.0,1,0,Chopera,arganzuela,1042.0,15.0,0.0,5.86,7.05,4.66,6.68,6.66
335000,planta 3,exterior,3,79.0,0,0,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
115000,planta 3,interior,1,21.0,1,0,Acacias,arganzuela,1389.0,15.0,1.0,5.93,5.61,6.33,5.05,5.71
399000,planta 1,,2,83.0,1,1,Delicias,arganzuela,512.0,14.0,1.0,6.35,7.14,6.22,5.81,6.34
420000,planta 2,exterior,2,86.0,1,1,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
325000,planta 3,exterior,2,50.0,1,0,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
209900,planta 3,exterior,2,53.0,0,0,Legazpi,arganzuela,0.0,6.0,1.0,6.38,4.52,5.81,4.57,7.24
379000,planta 2,interior,3,108.0,1,0,Chopera,arganzuela,1042.0,15.0,0.0,5.86,7.05,4.66,6.68,6.66
365000,planta 2,exterior,1,69.0,1,0,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
365000,planta 3,exterior,1,69.0,1,0,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
397000,planta 1,exterior,3,100.0,1,0,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
149000,bajo,interior,1,32.0,0,0,Acacias,arganzuela,1389.0,15.0,1.0,5.93,5.61,6.33,5.05,5.71
415000,planta 4,exterior,3,72.0,1,0,Acacias,arganzuela,1389.0,15.0,1.0,5.93,5.61,6.33,5.05,5.71
767000,planta 4,exterior,3,115.0,1,1,Acacias,arganzuela,1389.0,15.0,1.0,5.93,5.61,6.33,5.05,5.71
355000,planta 6,exterior,3,79.0,1,0,Acacias,arganzuela,1389.0,15.0,1.0,5.93,5.61,6.33,5.05,5.71
885000,planta 4,exterior,4,148.0,1,1,Acacias,arganzuela,1389.0,15.0,1.0,5.93,5.61,6.33,5.05,5.71
190000,planta 2,interior,2,50.0,1,0,Imperial,arganzuela,1026.0,6.0,1.0,5.81,5.36,6.37,5.14,5.73
159900,planta 3,interior,1,38.0,1,0,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
293000,planta 2,exterior,2,77.0,0,0,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
429999,planta 1,exterior,2,118.0,1,1,Legazpi,arganzuela,0.0,6.0,1.0,6.38,4.52,5.81,4.57,7.24
190000,planta 3,exterior,1,48.0,0,0,Imperial,arganzuela,1026.0,6.0,1.0,5.81,5.36,6.37,5.14,5.73
410000,planta 3,interior,2,84.0,1,1,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
520000,planta 2,exterior,4,149.0,1,0,Delicias,arganzuela,512.0,14.0,1.0,6.35,7.14,6.22,5.81,6.34
135000,bajo,interior,1,32.0,0,0,Delicias,arganzuela,512.0,14.0,1.0,6.35,7.14,6.22,5.81,6.34
350000,planta 2,exterior,1,93.0,1,1,Legazpi,arganzuela,0.0,6.0,1.0,6.38,4.52,5.81,4.57,7.24
330000,planta 1,exterior,3,108.0,0,0,Chopera,arganzuela,1042.0,15.0,0.0,5.86,7.05,4.66,6.68,6.66
249000,planta 3,interior,2,44.0,1,0,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
545000,planta 2,exterior,3,143.0,1,1,Delicias,arganzuela,512.0,14.0,1.0,6.35,7.14,6.22,5.81,6.34
230000,bajo,exterior,3,80.0,1,0,Acacias,arganzuela,1389.0,15.0,1.0,5.93,5.61,6.33,5.05,5.71
