,price,house_type_2,rooms,m2,elevator,garage,neighborhood,district,house_type_,floor
89,498000,exterior,3,143.0,True,True,Imperial,Arganzuela,Apartment,5
90,335000,exterior,1,61.0,True,True,Acacias,Arganzuela,Apartment,1
91,340000,exterior,1,60.0,True,True,Acacias,Arganzuela,Apartment,5
92,240000,interior,1,54.0,True,False,Acacias,Arganzuela,bajo,0
93,450000,exterior,3,98.0,True,False,Legazpi,Arganzuela,Apartment,12
94,348000,exterior,1,60.0,True,True,Acacias,Arganzuela,Apartment,2
95,355000,exterior,3,82.0,True,False,Acacias,Arganzuela,Apartment,6
96,525000,exterior,4,136.0,True,False,Palos de Moguer,Arganzuela,Apartment,4
97,390000,exterior,3,107.0,True,False,Palos de Moguer,Arganzuela,Apartment,1
99,499000,exterior,2,102.0,True,False,Imperial,Arganzuela,Apartment,7
100,144800,interior,2,40.0,False,False,Delicias,Arganzuela,sotano,0
102,280000,interior,3,73.0,True,False,Chopera,Arganzuela,Apartment,2
103,313000,exterior,2,67.0,True,False,Imperial,Arganzuela,Apartment,1
105,190000,interior,2,44.0,True,False,Chopera,Arganzuela,Apartment,3
107,219000,interior,2,53.0,True,False,Palos de Moguer,Arganzuela,Apartment,1
108,168800,interior,2,37.0,True,False,Palos de Moguer,Arganzuela,Apartment,1
109,698000,exterior,4,130.0,True,True,Acacias,Arganzuela,Apartment,1
110,610000,exterior,3,131.0,True,False,Palos de Moguer,Arganzuela,Apartment,3
111,299000,interior,3,76.0,True,False,Chopera,Arganzuela,Apartment,4
112,335000,exterior,3,79.0,False,False,Palos de Moguer,Arganzuela,Apartment,3
113,115000,interior,1,21.0,True,False,Acacias,Arganzuela,Apartment,3
116,420000,exterior,2,86.0,True,True,Palos de Moguer,Arganzuela,Apartment,2
117,325000,exterior,2,50.0,True,False,Palos de Moguer,Arganzuela,Apartment,3
118,209900,exterior,2,53.0,False,False,Legazpi,Arganzuela,Apartment,3
119,379000,interior,3,108.0,True,False,Chopera,Arganzuela,Apartment,2
120,365000,exterior,1,69.0,True,False,Palos de Moguer,Arganzuela,Apartment,2
121,365000,exterior,1,69.0,True,False,Palos de Moguer,Arganzuela,Apartment,3
122,397000,exterior,3,100.0,True,False,Palos de Moguer,Arganzuela,Apartment,1
123,149000,interior,1,32.0,False,False,Acacias,Arganzuela,bajo,0
125,415000,exterior,3,72.0,True,False,Acacias,Arganzuela,Apartment,4
126,767000,exterior,3,115.0,True,True,Acacias,Arganzuela,Apartment,4
127,355000,exterior,3,79.0,True,False,Acacias,Arganzuela,Apartment,6
128,885000,exterior,4,148.0,True,True,Acacias,Arganzuela,Apartment,4
129,190000,interior,2,50.0,True,False,Imperial,Arganzuela,Apartment,2
130,159900,interior,1,38.0,True,False,Palos de Moguer,Arganzuela,Apartment,3
131,293000,exterior,2,77.0,False,False,Palos de Moguer,Arganzuela,Apartment,2
134,429999,exterior,2,118.0,True,True,Legazpi,Arganzuela,Apartment,1
136,190000,exterior,1,48.0,False,False,Imperial,Arganzuela,Apartment,3
139,410000,interior,2,84.0,True,True,Palos de Moguer,Arganzuela,Apartment,3
140,520000,exterior,4,149.0,True,False,Delicias,Arganzuela,Apartment,2
141,135000,interior,1,32.0,False,False,Delicias,Arganzuela,bajo,0
142,350000,exterior,1,93.0,True,True,Legazpi,Arganzuela,Apartment,2
143,330000,exterior,3,108.0,False,False,Chopera,Arganzuela,Apartment,1
144,249000,interior,2,44.0,True,False,Palos de Moguer,Arganzuela,Apartment,3
145,545000,exterior,3,143.0,True,True,Delicias,Arganzuela,Apartment,2
146,230000,exterior,3,80.0,True,False,Acacias,Arganzuela,bajo,0
147,229000,exterior,3,66.0,False,False,Imperial,Arganzuela,bajo,0
148,169000,interior,2,35.0,True,False,Delicias,Arganzuela,Apartment,1
151,220000,exterior,2,64.0,True,False,Palos de Moguer,Arganzuela,bajo,0
153,159000,exterior,1,41.0,True,False,Delicias,Arganzuela,Apartment,2
154,439900,interior,3,101.0,True,False,Delicias,Arganzuela,Apartment,7
159,229100,exterior,1,49.0,True,False,Delicias,Arganzuela,Apartment,1
161,259000,exterior,2,56.0,True,False,Delicias,Arganzuela,Apartment,5
162,210000,interior,1,50.0,True,False,Palos de Moguer,Arganzuela,bajo,0
163,380000,exterior,3,89.0,True,False,Legazpi,Arganzuela,Apartment,3
164,519000,exterior,4,115.0,True,False,Chopera,Arganzuela,Apartment,5
165,379000,exterior,3,98.0,True,False,Chopera,Arganzuela,Apartment,4
167,180000,interior,1,50.0,False,False,DÃºplex en Imperial,Arganzuela,Apartment,3
168,395000,exterior,4,185.0,False,True,Imperial,Arganzuela,bajo,0
169,243999,interior,1,60.0,True,False,Chopera,Arganzuela,Apartment,3
170,179000,interior,1,40.0,True,False,Delicias,Arganzuela,Apartment,3
177,475000,exterior,5,136.0,False,False,Delicias,Arganzuela,Apartment,2
178,440000,exterior,3,90.0,True,False,Legazpi,Arganzuela,Apartment,12
179,450000,exterior,4,128.0,True,False,Palos de Moguer,Arganzuela,Apartment,4
180,450000,exterior,4,126.0,True,False,Palos de Moguer,Arganzuela,Apartment,4
181,380000,exterior,4,98.0,True,False,Chopera,Arganzuela,Apartment,4
182,515000,exterior,4,131.0,True,False,Chopera,Arganzuela,Apartment,1
183,175000,interior,1,45.0,False,False,Delicias,Arganzuela,bajo,0
184,223000,interior,2,54.0,True,False,Acacias,Arganzuela,Apartment,3
185,545000,exterior,4,114.0,True,True,Palos de Moguer,Arganzuela,Apartment,8
188,309900,exterior,1,57.0,True,True,Legazpi,Arganzuela,Apartment,7
189,72000,exterior,2,36.0,False,False,Delicias,Arganzuela,Apartment,2
190,315000,interior,3,72.0,True,False,Delicias,Arganzuela,Apartment,2
191,640000,exterior,3,123.0,True,True,Legazpi,Arganzuela,Apartment,4
192,225000,interior,1,40.0,True,False,Delicias,Arganzuela,Apartment,1
193,162500,exterior,3,53.0,True,False,Chopera,Arganzuela,bajo,0
195,285000,interior,3,74.0,True,False,Acacias,Arganzuela,Apartment,5
196,280000,exterior,1,71.0,False,False,Acacias,Arganzuela,bajo,0
197,399000,exterior,2,80.0,True,True,Legazpi,Arganzuela,Apartment,1
198,295000,exterior,1,79.0,True,False,Legazpi,Arganzuela,Apartment,4
199,525000,exterior,4,126.0,True,False,Palos de Moguer,Arganzuela,Apartment,4
200,315000,exterior,3,85.0,True,False,Delicias,Arganzuela,Apartment,1
201,599000,exterior,3,72.0,True,False,Ãtico en Delicias,Arganzuela,Apartment,6
202,440000,exterior,5,139.0,True,False,Imperial,Arganzuela,Apartment,2
204,295000,interior,2,60.0,True,False,Palos de Moguer,Arganzuela,Apartment,4
205,535000,exterior,2,75.0,True,True,Delicias,Arganzuela,bajo,0
206,330000,exterior,1,65.0,True,True,Imperial,Arganzuela,Apartment,4
207,235000,exterior,1,37.0,False,False,Acacias,Arganzuela,Apartment,1
208,800000,exterior,4,140.0,True,False,Acacias,Arganzuela,Apartment,1
209,130000,interior,2,34.0,False,False,Palos de Moguer,Arganzuela,Apartment,4
210,443000,exterior,3,108.0,True,False,Acacias,Arganzuela,Apartment,8
211,364000,interior,3,90.0,True,False,Palos de Moguer,Arganzuela,Apartment,3
212,700000,exterior,3,114.0,True,False,Acacias,Arganzuela,Apartment,4
213,430000,exterior,4,108.0,True,False,Palos de Moguer,Arganzuela,Apartment,5
214,359000,exterior,1,94.0,True,True,Legazpi,Arganzuela,Apartment,2
215,485000,exterior,2,109.0,True,True,Legazpi,Arganzuela,Apartment,2
216,375000,exterior,3,84.0,True,False,Chopera,Arganzuela,Apartment,6
219,260000,exterior,1,46.0,True,False,Acacias,Arganzuela,Apartment,1
221,749000,exterior,4,160.0,True,True,Legazpi,Arganzuela,Apartment,2
222,203000,interior,2,52.0,True,False,Delicias,Arganzuela,bajo,0
223,468999,exterior,2,107.0,True,True,Legazpi,Arganzuela,Apartment,4
224,320000,exterior,3,70.0,True,True,Delicias,Arganzuela,Apartment,1
225,396000,exterior,2,78.0,True,False,Acacias,Arganzuela,Apartment,1
226,450000,exterior,3,120.0,True,False,Palos de Moguer,Arganzuela,Apartment,1
227,295000,exterior,3,76.0,True,False,Imperial,Arganzuela,Apartment,1
228,399000,interior,3,90.0,True,False,Delicias,Arganzuela,Apartment,2
229,295000,exterior,2,71.0,True,False,Imperial,Arganzuela,Apartment,3
230,239000,exterior,3,55.0,False,False,Legazpi,Arganzuela,Apartment,3
231,675000,exterior,4,180.0,True,False,Delicias,Arganzuela,Apartment,6
232,176500,exterior,1,52.0,False,False,Palos de Moguer,Arganzuela,Apartment,1
233,310000,exterior,1,74.0,True,False,Legazpi,Arganzuela,bajo,0
234,670000,exterior,4,169.0,True,True,Acacias,Arganzuela,Apartment,1
235,465000,exterior,4,120.0,True,False,Chopera,Arganzuela,Apartment,3
236,275000,exterior,2,123.0,True,False,Acacias,Arganzuela,bajo,0
237,275000,exterior,1,47.0,False,False,Legazpi,Arganzuela,bajo,0
238,370000,exterior,1,79.0,True,False,Imperial,Arganzuela,Apartment,1
239,387000,exterior,1,63.0,True,True,Legazpi,Arganzuela,Apartment,1
240,138000,exterior,3,40.0,False,False,Delicias,Arganzuela,bajo,0
241,460000,exterior,4,150.0,True,False,Delicias,Arganzuela,Apartment,2
242,249000,interior,2,60.0,True,False,Palos de Moguer,Arganzuela,Apartment,5
243,479000,exterior,4,113.0,True,False,Imperial,Arganzuela,Apartment,2
244,175000,interior,2,45.0,True,False,Delicias,Arganzuela,Apartment,2
245,605000,exterior,3,124.0,True,True,Imperial,Arganzuela,Apartment,1
246,460000,exterior,5,120.0,True,False,Delicias,Arganzuela,Apartment,1
247,420000,exterior,1,92.0,True,False,Legazpi,Arganzuela,Apartment,1
248,565000,exterior,3,102.0,True,False,Palos de Moguer,Arganzuela,Apartment,3
249,175000,interior,2,37.0,True,False,Acacias,Arganzuela,Apartment,3
250,385000,interior,4,120.0,True,False,Acacias,Arganzuela,Apartment,2
251,269000,interior,2,50.0,True,False,Palos de Moguer,Arganzuela,Apartment,6
252,475000,exterior,4,126.0,True,False,Palos de Moguer,Arganzuela,Apartment,3
253,520000,exterior,3,115.0,True,True,Legazpi,Arganzuela,Apartment,1
254,240000,interior,1,60.0,True,False,Acacias,Arganzuela,bajo,0
255,395000,exterior,2,72.0,True,True,Legazpi,Arganzuela,Apartment,5
256,172000,interior,1,42.0,False,False,Imperial,Arganzuela,Apartment,1
257,320000,exterior,1,56.0,True,True,Legazpi,Arganzuela,Apartment,2
258,199990,interior,2,45.0,True,False,Palos de Moguer,Arganzuela,Apartment,1
259,440000,exterior,3,105.0,True,False,Imperial,Arganzuela,Apartment,4
260,295000,exterior,3,55.0,True,False,Chopera,Arganzuela,Apartment,3
261,340000,exterior,2,68.0,True,False,Palos de Moguer,Arganzuela,Apartment,3
262,170000,interior,2,32.0,True,False,Palos de Moguer,Arganzuela,bajo,0
263,360000,exterior,4,105.0,True,False,Delicias,Arganzuela,Apartment,1
264,449000,exterior,3,86.0,True,False,Imperial,Arganzuela,Apartment,3
265,375000,exterior,2,65.0,False,False,Legazpi,Arganzuela,Apartment,1
266,299000,exterior,1,59.0,True,True,Legazpi,Arganzuela,Apartment,2
267,485000,exterior,3,113.0,True,False,Chopera,Arganzuela,Apartment,4
268,475000,exterior,2,60.0,True,True,Legazpi,Arganzuela,Apartment,5
269,425000,exterior,3,72.0,True,False,Acacias,Arganzuela,Apartment,4
270,520000,exterior,3,135.0,True,False,Palos de Moguer,Arganzuela,Apartment,1
271,415000,exterior,3,57.0,True,False,Palos de Moguer,Arganzuela,Apartment,7
272,320000,exterior,3,71.0,True,False,Palos de Moguer,Arganzuela,Apartment,1
273,620000,exterior,3,126.0,True,True,Imperial,Arganzuela,Apartment,2
274,320000,exterior,1,52.0,False,False,Palos de Moguer,Arganzuela,bajo,0
275,380000,exterior,2,72.0,True,False,Palos de Moguer,Arganzuela,Apartment,1
276,320000,exterior,1,60.0,True,False,Acacias,Arganzuela,Apartment,5
277,124000,interior,1,36.0,False,False,Delicias,Arganzuela,Apartment,4
278,345000,exterior,3,109.0,True,False,Delicias,Arganzuela,Apartment,1
279,670000,exterior,3,119.0,True,False,Acacias,Arganzuela,Apartment,5
280,595000,exterior,3,100.0,True,True,Delicias,Arganzuela,Apartment,2
281,538000,exterior,2,97.0,True,False,Legazpi,Arganzuela,Apartment,1
282,299900,exterior,3,84.0,True,False,Delicias,Arganzuela,Apartment,2
284,255000,exterior,1,74.0,False,False,Imperial,Arganzuela,bajo,0
285,272000,exterior,1,81.0,False,False,Imperial,Arganzuela,bajo,0
286,299000,interior,2,56.0,True,False,Palos de Moguer,Arganzuela,Apartment,6
287,385000,exterior,3,87.0,True,False,Legazpi,Arganzuela,bajo,0
288,445000,exterior,4,112.0,True,False,Delicias,Arganzuela,Apartment,3
289,300000,exterior,3,68.0,True,False,Acacias,Arganzuela,Apartment,1
290,410000,exterior,3,142.0,True,False,Imperial,Arganzuela,Apartment,1
292,132000,interior,1,50.0,False,False,Imperial,Arganzuela,semi-sotano,0
293,450000,exterior,3,113.0,True,True,Delicias,Arganzuela,Apartment,6
294,499000,exterior,3,121.0,True,False,Acacias,Arganzuela,Apartment,3
295,350000,exterior,3,87.0,True,False,Palos de Moguer,Arganzuela,Apartment,1
296,340000,exterior,3,80.0,True,False,Palos de Moguer,Arganzuela,Apartment,2
297,360000,interior,3,72.0,True,False,Palos de Moguer,Arganzuela,Apartment,4
300,129000,interior,2,44.0,True,False,Acacias,Arganzuela,sotano,0
301,145000,interior,1,43.0,True,False,Delicias,Arganzuela,Apartment,2
302,490000,exterior,4,160.0,False,True,Imperial,Arganzuela,bajo,0
303,175000,interior,1,32.0,True,False,Delicias,Arganzuela,Apartment,2
304,299000,interior,2,60.0,True,False,Acacias,Arganzuela,Apartment,2
305,155000,interior,2,41.0,True,False,Imperial,Arganzuela,Apartment,2
306,349000,exterior,2,97.0,True,False,Acacias,Arganzuela,Apartment,2
307,430000,exterior,2,80.0,True,True,Legazpi,Arganzuela,Apartment,3
308,339000,interior,2,80.0,True,False,Imperial,Arganzuela,Apartment,7
310,155000,interior,1,34.0,False,False,Imperial,Arganzuela,Apartment,3
311,350000,interior,2,62.0,True,False,Chopera,Arganzuela,Apartment,2
312,345000,interior,4,100.0,True,False,Palos de Moguer,Arganzuela,Apartment,4
313,269900,exterior,3,92.0,False,False,Chopera,Arganzuela,entreplanta,0
314,440000,exterior,3,136.0,True,True,Legazpi,Arganzuela,Apartment,5
315,140000,interior,2,41.0,False,False,Imperial,Arganzuela,Apartment,5
316,379000,exterior,3,101.0,True,False,Delicias,Arganzuela,Apartment,1
317,177000,exterior,1,36.0,True,False,Palos de Moguer,Arganzuela,bajo,0
318,165000,interior,1,33.0,True,False,Palos de Moguer,Arganzuela,Apartment,1
319,515500,exterior,2,100.0,True,True,Delicias,Arganzuela,Apartment,4
320,555000,exterior,4,121.0,True,False,Palos de Moguer,Arganzuela,Apartment,4
321,165000,exterior,3,84.0,True,False,Imperial,Arganzuela,bajo,0
322,298000,exterior,1,64.0,True,False,Delicias,Arganzuela,Apartment,4
323,480000,exterior,2,101.0,True,True,Legazpi,Arganzuela,Apartment,1
324,398000,exterior,2,71.0,True,True,Legazpi,Arganzuela,Apartment,1
325,387000,exterior,2,71.0,True,True,Legazpi,Arganzuela,Apartment,2
326,410000,exterior,3,100.0,True,False,Chopera,Arganzuela,Apartment,4
327,550000,interior,4,120.0,True,False,Chopera,Arganzuela,Apartment,6
328,230000,interior,2,53.0,True,False,Delicias,Arganzuela,bajo,0
329,185000,interior,1,45.0,True,False,Palos de Moguer,Arganzuela,bajo,0
330,144800,exterior,3,40.0,False,False,Delicias,Arganzuela,bajo,0
331,180000,interior,1,45.0,True,False,Chopera,Arganzuela,bajo,0
332,392400,exterior,2,77.0,True,False,Palos de Moguer,Arganzuela,bajo,0
333,373000,exterior,2,93.0,True,False,Chopera,Arganzuela,Apartment,4
334,545000,exterior,4,156.0,True,False,Delicias,Arganzuela,Apartment,4
335,373800,exterior,2,89.0,True,False,Chopera,Arganzuela,Apartment,3
336,390000,exterior,3,90.0,True,False,Chopera,Arganzuela,Apartment,1
337,460000,interior,2,90.0,True,False,Chopera,Arganzuela,Apartment,2
338,449900,exterior,3,106.0,True,False,Palos de Moguer,Arganzuela,Apartment,2
339,239000,interior,3,62.0,True,False,Palos de Moguer,Arganzuela,Apartment,2
340,574500,exterior,3,118.0,True,True,Imperial,Arganzuela,Apartment,3
341,219900,interior,2,48.0,True,False,Palos de Moguer,Arganzuela,Apartment,2
342,355000,exterior,3,82.0,False,False,Acacias,Arganzuela,Apartment,6
343,150000,exterior,1,30.0,False,False,Palos de Moguer,Arganzuela,bajo,0
344,315000,exterior,2,45.0,True,False,Imperial,Arganzuela,Apartment,3
345,442589,exterior,2,82.0,True,True,Legazpi,Arganzuela,Apartment,1
346,295240,exterior,1,54.0,True,True,Legazpi,Arganzuela,Apartment,1
347,753277,exterior,3,120.0,True,True,Legazpi,Arganzuela,Apartment,5
348,664330,exterior,3,124.0,True,True,Legazpi,Arganzuela,Apartment,4
349,853203,exterior,4,168.0,True,True,Legazpi,Arganzuela,Apartment,3
350,619100,exterior,3,122.0,True,True,Legazpi,Arganzuela,Apartment,2
351,463308,exterior,2,88.0,True,True,Legazpi,Arganzuela,Apartment,2
352,239000,interior,1,51.0,True,False,Chopera,Arganzuela,Apartment,3
353,265000,exterior,2,60.0,False,False,Imperial,Arganzuela,Apartment,3
354,240000,exterior,3,54.0,False,False,Legazpi,Arganzuela,Apartment,3
355,325000,exterior,1,63.0,True,True,Delicias,Arganzuela,Apartment,3
356,480000,exterior,3,143.0,True,False,Imperial,Arganzuela,bajo,0
357,675000,exterior,7,170.0,True,False,Delicias,Arganzuela,Apartment,1
358,135000,interior,2,81.0,True,False,Acacias,Arganzuela,Apartment,1
359,443000,exterior,4,131.0,True,False,Palos de Moguer,Arganzuela,Apartment,5
360,177500,interior,2,50.0,False,False,Imperial,Arganzuela,Apartment,1
361,250000,exterior,1,80.0,True,False,Chopera,Arganzuela,bajo,0
362,230000,interior,2,42.0,True,False,Palos de Moguer,Arganzuela,Apartment,5
363,420000,exterior,4,110.0,True,False,Delicias,Arganzuela,Apartment,2
364,365000,exterior,1,75.0,True,False,Palos de Moguer,Arganzuela,Apartment,4
365,359000,interior,3,115.0,True,False,Delicias,Arganzuela,Apartment,5
366,395000,interior,3,80.0,True,False,Delicias,Arganzuela,Apartment,2
367,365000,exterior,1,71.0,True,False,Palos de Moguer,Arganzuela,Apartment,4
368,185000,interior,1,47.0,True,False,Palos de Moguer,Arganzuela,bajo,0
369,1200000,exterior,3,225.0,True,True,Acacias,Arganzuela,Apartment,5
370,800000,exterior,4,146.0,True,True,Legazpi,Arganzuela,Apartment,9
371,527000,exterior,4,133.0,True,False,Acacias,Arganzuela,Apartment,4
372,220000,interior,2,125.0,True,False,Imperial,Arganzuela,sotano,0
373,135000,exterior,1,34.0,False,False,Imperial,Arganzuela,bajo,0
374,145000,interior,2,37.0,False,False,Chopera,Arganzuela,Apartment,3
375,264000,exterior,3,92.0,True,False,Chopera,Arganzuela,entreplanta,0
376,395000,exterior,4,143.0,False,True,Imperial,Arganzuela,bajo,0
377,269900,exterior,3,92.0,True,False,Chopera,Arganzuela,entreplanta,0
378,223000,interior,2,55.0,True,False,Acacias,Arganzuela,Apartment,3
379,379900,exterior,1,42.0,True,True,Palos de Moguer,Arganzuela,bajo,0
380,185000,exterior,2,67.0,True,False,Chopera,Arganzuela,sotano,0
381,485000,exterior,4,110.0,True,False,Chopera,Arganzuela,Apartment,8
382,390000,interior,3,90.0,True,False,Palos de Moguer,Arganzuela,Apartment,2
383,394816,exterior,1,61.0,True,True,Legazpi,Arganzuela,Apartment,5
384,517833,exterior,2,103.0,True,True,Legazpi,Arganzuela,Apartment,2
385,812680,exterior,4,169.0,True,True,Legazpi,Arganzuela,Apartment,1
387,398000,exterior,4,109.0,True,False,Palos de Moguer,Arganzuela,Apartment,2
388,440000,exterior,2,80.0,True,True,Acacias,Arganzuela,Apartment,3
389,385000,exterior,2,90.0,True,False,Palos de Moguer,Arganzuela,Apartment,3
390,330000,exterior,3,82.0,True,False,Acacias,Arganzuela,Apartment,5
391,370000,exterior,1,80.0,True,False,Imperial,Arganzuela,Apartment,1
392,330000,exterior,2,72.0,True,False,Acacias,Arganzuela,Apartment,4
393,840000,exterior,4,121.0,True,True,Acacias,Arganzuela,Apartment,1
394,395000,exterior,4,184.0,False,True,Imperial,Arganzuela,entreplanta,0
396,370000,interior,3,89.0,True,True,Acacias,Arganzuela,Apartment,6
397,215000,interior,1,47.0,True,False,Acacias,Arganzuela,Apartment,5
398,340400,exterior,1,65.0,True,False,Imperial,Arganzuela,Apartment,3
399,249000,exterior,1,59.0,False,False,Delicias,Arganzuela,bajo,0
400,275000,exterior,1,55.0,False,False,Palos de Moguer,Arganzuela,Apartment,3
401,280000,interior,2,57.0,False,False,Acacias,Arganzuela,Apartment,2
402,233000,interior,1,48.0,False,False,Imperial,Arganzuela,Apartment,3
403,235000,exterior,2,66.0,True,False,Chopera,Arganzuela,Apartment,2
404,355000,exterior,3,96.0,True,False,Delicias,Arganzuela,bajo,0
406,349000,interior,2,75.0,True,False,Delicias,Arganzuela,Apartment,3
407,600000,exterior,2,137.0,True,True,Legazpi,Arganzuela,Apartment,5
408,605000,exterior,3,124.0,True,False,Imperial,Arganzuela,Apartment,1
410,299000,exterior,2,71.0,True,False,Delicias,Arganzuela,Apartment,4
412,465000,exterior,2,76.0,True,True,Legazpi,Arganzuela,Apartment,5
413,362000,exterior,1,48.0,True,True,Imperial,Arganzuela,Apartment,6
