price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district,sports_centers,social_wellness_index,urban_mobility_index,education_index,employment_index,health_index,kmean_cluster
215000,bajo,interior,2,50.0,1,0,Trafalgar,chamberi,0.0,6.52,11.82,5.6,5.37,9.91,0
850000,planta 5,exterior,2,86.0,1,0,Goya,salamanca,1.0,8.01,21.75,6.81,5.42,5.63,0
2490000,planta 5,exterior,4,207.0,1,0,Recoletos,salamanca,0.0,8.15,22.48,4.55,5.59,6.19,0
1349000,planta 5,exterior,3,157.0,1,0,Lista,salamanca,0.0,5.91,12.09,6.82,5.67,5.71,0
950000,planta 2,exterior,5,218.0,1,1,Castilla,chamartin,0.0,5.61,5.03,5.25,4.33,7.23,0
1299000,planta 7,exterior,3,120.0,1,0,Goya,salamanca,1.0,8.01,21.75,6.81,5.42,5.63,0
3600000,planta 3,exterior,5,379.0,1,0,Goya,salamanca,1.0,8.01,21.75,6.81,5.42,5.63,0
440000,planta 1,exterior,3,78.0,1,0,Guindalera,salamanca,1.0,6.17,5.73,4.94,4.63,7.34,0
695000,planta 4,exterior,3,137.0,1,1,Canillas,hortaleza,1.0,4.84,6.74,6.07,5.39,8.55,0
1495000,planta 2,exterior,3,138.0,1,0,Goya,salamanca,1.0,8.01,21.75,6.81,5.42,5.63,0
3200000,planta 2,exterior,2,244.0,1,0,Castellana,salamanca,0.0,7.63,9.14,6.63,5.58,6.0,0
2150000,planta 1,exterior,5,407.0,1,1,Piovera,hortaleza,0.0,7.08,6.86,6.49,5.55,7.8,0
2800000,planta 4,exterior,5,306.0,1,0,Goya,salamanca,1.0,8.01,21.75,6.81,5.42,5.63,0
875000,bajo,exterior,3,149.0,1,0,Ibiza,retiro,0.0,8.17,56.34,3.6,5.55,6.55,0
1275000,casa,exterior,3,125.0,1,0,Castellana,salamanca,0.0,7.63,9.14,6.63,5.58,6.0,0
2500000,planta 1,exterior,3,227.0,1,0,Jerónimos,Jerónimos,0.0,9.05,3.24,3.36,4.7,13.62,0
965000,planta 4,exterior,3,145.0,1,1,Hispanoamérica,chamartin,0.0,5.56,7.37,5.15,4.38,6.32,0
2500000,planta 6,exterior,5,314.0,1,1,Almagro,chamberi,0.0,8.4,9.47,5.43,5.19,10.11,0
1195000,planta 4,exterior,4,303.0,1,1,Mirasierra,fuencarral,1.0,6.2,5.3,4.26,4.33,7.05,0
870000,planta 2,exterior,4,150.0,1,0,Arapiles,chamberi,0.0,6.34,13.36,3.72,5.16,9.57,0
2395000,planta 1,exterior,4,270.0,1,1,Trafalgar,chamberi,0.0,6.52,11.82,5.6,5.37,9.91,0
2400000,planta 3,exterior,3,227.0,1,0,Trafalgar,chamberi,0.0,6.52,11.82,5.6,5.37,9.91,0
1925000,planta 6,exterior,3,187.0,1,1,Almagro,chamberi,0.0,8.4,9.47,5.43,5.19,10.11,0
1700000,planta 3,exterior,4,220.0,1,1,Goya,salamanca,1.0,8.01,21.75,6.81,5.42,5.63,0
1060000,planta 4,exterior,3,146.0,1,0,Goya,salamanca,1.0,8.01,21.75,6.81,5.42,5.63,0
750000,planta 1,exterior,2,111.0,1,0,Trafalgar,chamberi,0.0,6.52,11.82,5.6,5.37,9.91,0
1290000,planta 2,exterior,3,150.0,1,1,Goya,salamanca,1.0,8.01,21.75,6.81,5.42,5.63,0
2100000,planta 2,exterior,4,209.0,1,1,Castellana,salamanca,0.0,7.63,9.14,6.63,5.58,6.0,0
568000,planta 8,interior,2,90.0,1,0,Cuatro Caminos,tetuan,0.0,6.49,7.5,8.5,6.79,6.62,0
2700000,planta 2,exterior,3,220.0,1,0,Recoletos,salamanca,0.0,8.15,22.48,4.55,5.59,6.19,0
980000,planta 4,exterior,3,178.0,1,0,Piovera,hortaleza,0.0,7.08,6.86,6.49,5.55,7.8,0
900000,planta 2,exterior,2,95.0,1,0,El Viso,chamartin,0.0,7.5,5.25,5.08,4.59,7.35,0
2500000,planta 1,exterior,3,151.0,1,0,Recoletos,salamanca,0.0,8.15,22.48,4.55,5.59,6.19,0
1129000,planta 6,interior,2,103.0,1,0,Goya,salamanca,1.0,8.01,21.75,6.81,5.42,5.63,0
2995000,planta 4,exterior,4,298.0,1,0,Gaztambide,chamberi,0.0,6.02,19.59,5.61,5.37,9.86,0
650000,planta 2,interior,2,65.0,1,0,Goya,salamanca,1.0,8.01,21.75,6.81,5.42,5.63,0
980000,planta 4,exterior,3,178.0,1,0,Piovera,hortaleza,0.0,7.08,6.86,6.49,5.55,7.8,0
460000,planta 2,exterior,1,68.0,1,1,Piovera,hortaleza,0.0,7.08,6.86,6.49,5.55,7.8,0
2200000,planta 3,exterior,4,248.0,1,1,Niño Jesús,retiro,0.0,6.08,7.24,5.27,3.89,6.6,0
2050000,planta 1,exterior,5,315.0,1,1,El Viso,chamartin,0.0,7.5,5.25,5.08,4.59,7.35,0
1075000,planta 6,exterior,1,75.0,1,0,Ríos Rosas,chamberi,0.0,6.45,10.7,5.57,4.91,9.34,0
830000,planta 1,exterior,4,171.0,1,1,Palomas,hortaleza,1.0,7.36,5.47,6.35,5.69,8.1,0
600000,planta 6,exterior,2,130.0,1,1,Pueblo Nuevo,ciudad lineal,2.0,5.74,7.56,6.53,8.17,6.18,0
1400000,planta 2,exterior,3,190.0,1,1,Aravaca,moncloa,1.0,5.89,5.68,4.06,5.0,6.99,0
1800000,casa,exterior,4,194.0,1,0,Castellana,salamanca,0.0,7.63,9.14,6.63,5.58,6.0,0
1049900,planta 3,exterior,2,78.0,1,1,Recoletos,salamanca,0.0,8.15,22.48,4.55,5.59,6.19,0
1350000,planta 2,exterior,3,147.0,1,0,Goya,salamanca,1.0,8.01,21.75,6.81,5.42,5.63,0
1400000,planta 2,exterior,3,190.0,1,1,Aravaca,moncloa,1.0,5.89,5.68,4.06,5.0,6.99,0
1450000,planta 3,exterior,3,139.0,1,0,Goya,salamanca,1.0,8.01,21.75,6.81,5.42,5.63,0
1560000,planta 1,exterior,4,212.0,1,0,Aravaca,moncloa,1.0,5.89,5.68,4.06,5.0,6.99,0
1300000,planta 3,exterior,3,157.0,1,0,Trafalgar,chamberi,0.0,6.52,11.82,5.6,5.37,9.91,0
1525000,planta 1,exterior,4,206.0,1,0,Aravaca,moncloa,1.0,5.89,5.68,4.06,5.0,6.99,0
835000,planta 5,exterior,4,219.0,1,0,Guindalera,salamanca,1.0,6.17,5.73,4.94,4.63,7.34,0
1250000,planta 3,exterior,4,155.0,1,1,Castellana,salamanca,0.0,7.63,9.14,6.63,5.58,6.0,0
895000,planta 3,exterior,2,112.0,1,0,El Viso,chamartin,0.0,7.5,5.25,5.08,4.59,7.35,0
1080000,planta 4,exterior,2,97.0,1,1,Lista,salamanca,0.0,5.91,12.09,6.82,5.67,5.71,0
210000,entreplanta,exterior,3,80.0,1,0,Canillejas,san-blas,0.0,6.2,6.24,7.96,8.3,5.88,0
220000,planta 1,interior,3,49.0,1,0,Palos de Moguer,arganzuela,1.0,6.19,9.22,4.5,6.45,5.89,0
780000,planta 4,exterior,3,113.0,1,1,Niño Jesús,retiro,0.0,6.08,7.24,5.27,3.89,6.6,0
650000,planta 4,exterior,2,87.0,1,1,Trafalgar,chamberi,0.0,6.52,11.82,5.6,5.37,9.91,0
250000,planta 3,exterior,3,80.0,1,0,Pinar del Rey,hortaleza,0.0,5.11,6.91,6.3,6.45,7.42,0
645000,planta 1,exterior,4,170.0,1,1,La Paz,fuencarral,1.0,5.57,4.55,4.62,4.23,7.44,0
640000,planta 6,exterior,2,140.0,1,1,Peñagrande,fuencarral,1.0,5.95,5.62,5.3,5.14,6.19,0
595000,planta 3,exterior,1,81.0,1,1,Hispanoamérica,chamartin,0.0,5.56,7.37,5.15,4.38,6.32,0
560000,planta 1,exterior,2,80.0,1,0,Almagro,chamberi,0.0,8.4,9.47,5.43,5.19,10.11,0
1250000,planta 4,exterior,2,110.0,1,1,Goya,salamanca,1.0,8.01,21.75,6.81,5.42,5.63,0
2250000,planta 3,exterior,3,204.0,1,1,Lista,salamanca,0.0,5.91,12.09,6.82,5.67,5.71,0
650000,bajo,exterior,2,153.0,1,1,Mirasierra,fuencarral,1.0,6.2,5.3,4.26,4.33,7.05,0
3100000,planta 6,exterior,4,292.0,1,1,El Viso,chamartin,0.0,7.5,5.25,5.08,4.59,7.35,0
2100000,planta 1,exterior,5,302.0,1,0,Recoletos,salamanca,0.0,8.15,22.48,4.55,5.59,6.19,0
828000,planta 2,exterior,4,138.0,1,1,Trafalgar,chamberi,0.0,6.52,11.82,5.6,5.37,9.91,0
1330000,planta 5,exterior,5,234.0,1,1,Nueva España,chamartin,1.0,7.48,6.48,4.98,4.38,6.82,0
1650000,planta 3,interior,4,202.0,1,1,El Viso,chamartin,0.0,7.5,5.25,5.08,4.59,7.35,0
1215000,planta 3,exterior,2,81.0,1,0,Recoletos,salamanca,0.0,8.15,22.48,4.55,5.59,6.19,0
1495000,planta 2,exterior,4,264.0,1,1,Castilla,chamartin,0.0,5.61,5.03,5.25,4.33,7.23,0
275000,planta 1,interior,1,39.0,1,0,Guindalera,salamanca,1.0,6.17,5.73,4.94,4.63,7.34,0
2100000,planta 5,exterior,4,291.0,1,1,El Viso,chamartin,0.0,7.5,5.25,5.08,4.59,7.35,0
1095000,planta 5,exterior,4,164.0,1,1,Goya,salamanca,1.0,8.01,21.75,6.81,5.42,5.63,0
1850000,planta 1,exterior,3,146.0,1,1,Recoletos,salamanca,0.0,8.15,22.48,4.55,5.59,6.19,0
1175000,planta 15,exterior,3,165.0,1,1,Cuatro Caminos,tetuan,0.0,6.49,7.5,8.5,6.79,6.62,0
1500000,planta 3,exterior,4,237.0,1,1,Aravaca,moncloa,1.0,5.89,5.68,4.06,5.0,6.99,0
1760000,planta 5,exterior,3,156.0,1,0,Recoletos,salamanca,0.0,8.15,22.48,4.55,5.59,6.19,0
740000,planta 4,exterior,4,147.0,1,0,Aravaca,moncloa,1.0,5.89,5.68,4.06,5.0,6.99,0
739000,planta 6,exterior,3,102.0,1,0,Ibiza,retiro,0.0,8.17,56.34,3.6,5.55,6.55,0
390000,planta 2,exterior,1,60.0,1,1,Aravaca,moncloa,1.0,5.89,5.68,4.06,5.0,6.99,0
1290000,planta 7,exterior,4,160.0,1,0,Hispanoamérica,chamartin,0.0,5.56,7.37,5.15,4.38,6.32,0
2012500,planta 1,exterior,2,175.0,1,0,Goya,salamanca,1.0,8.01,21.75,6.81,5.42,5.63,0
300000,planta 1,exterior,1,43.0,1,0,Canillas,hortaleza,1.0,4.84,6.74,6.07,5.39,8.55,0
1250000,planta 4,exterior,3,220.0,1,0,Castillejos,tetuan,1.0,6.75,8.8,10.44,7.04,6.64,0
1137000,planta 4,exterior,5,196.0,1,0,Argüelles,moncloa,0.0,5.25,23.84,3.97,5.57,5.97,0
1250000,planta 4,exterior,3,220.0,1,0,Cuatro Caminos,tetuan,0.0,6.49,7.5,8.5,6.79,6.62,0
445000,bajo,exterior,1,73.0,1,0,Argüelles,moncloa,0.0,5.25,23.84,3.97,5.57,5.97,0
345000,planta 2,exterior,1,64.0,1,0,Canillas,hortaleza,1.0,4.84,6.74,6.07,5.39,8.55,0
1500000,planta 3,exterior,4,237.0,1,1,Aravaca,moncloa,1.0,5.89,5.68,4.06,5.0,6.99,0
799000,planta 2,exterior,2,100.0,1,0,Trafalgar,chamberi,0.0,6.52,11.82,5.6,5.37,9.91,0
609000,planta 3,exterior,2,89.0,1,0,Guindalera,salamanca,1.0,6.17,5.73,4.94,4.63,7.34,0
475000,planta 3,exterior,4,98.0,1,1,Canillas,hortaleza,1.0,4.84,6.74,6.07,5.39,8.55,0
1790000,planta 4,exterior,3,140.0,1,1,Recoletos,salamanca,0.0,8.15,22.48,4.55,5.59,6.19,0
1550000,planta 2,interior,2,151.0,1,0,Recoletos,salamanca,0.0,8.15,22.48,4.55,5.59,6.19,0
1200000,planta 3,exterior,2,174.0,1,0,Hispanoamérica,chamartin,0.0,5.56,7.37,5.15,4.38,6.32,0
155000,planta 4,exterior,3,60.0,1,0,Canillejas,san-blas,0.0,6.2,6.24,7.96,8.3,5.88,0
950000,planta 6,exterior,2,78.0,1,0,Trafalgar,chamberi,0.0,6.52,11.82,5.6,5.37,9.91,0
1670000,bajo,exterior,4,213.0,1,1,Nueva España,chamartin,1.0,7.48,6.48,4.98,4.38,6.82,0
1250000,planta 8,exterior,4,210.0,1,0,Vallehermoso,chamberi,2.0,5.95,8.37,5.36,4.21,9.75,0
229000,planta 1,interior,3,84.0,1,0,Quintana,ciudad lineal,0.0,6.2,12.09,5.87,8.41,6.76,0
168000,bajo,exterior,3,68.0,1,0,Pueblo Nuevo,ciudad lineal,2.0,5.74,7.56,6.53,8.17,6.18,0
1700000,planta 1,exterior,4,245.0,1,1,Nueva España,chamartin,1.0,7.48,6.48,4.98,4.38,6.82,0
365000,sotano,exterior,2,77.0,1,0,Goya,salamanca,1.0,8.01,21.75,6.81,5.42,5.63,0
850000,planta 3,exterior,2,90.0,1,0,Hispanoamérica,chamartin,0.0,5.56,7.37,5.15,4.38,6.32,0
1450000,planta 3,exterior,3,139.0,1,0,Goya,salamanca,1.0,8.01,21.75,6.81,5.42,5.63,0
985000,planta 1,exterior,3,185.0,1,1,Jerónimos,Jerónimos,0.0,9.05,3.24,3.36,4.7,13.62,0
3500000,planta 6,exterior,4,251.0,1,0,Jerónimos,Jerónimos,0.0,9.05,3.24,3.36,4.7,13.62,0
525000,planta 1,exterior,4,86.0,1,0,Niño Jesús,retiro,0.0,6.08,7.24,5.27,3.89,6.6,0
3600000,planta 3,exterior,3,316.0,1,0,Castellana,salamanca,0.0,7.63,9.14,6.63,5.58,6.0,0
3100000,planta 5,exterior,4,322.0,1,0,Trafalgar,chamberi,0.0,6.52,11.82,5.6,5.37,9.91,0
750000,planta 3,exterior,1,54.0,1,0,Recoletos,salamanca,0.0,8.15,22.48,4.55,5.59,6.19,0
2100000,planta 1,exterior,4,268.0,1,1,Argüelles,moncloa,0.0,5.25,23.84,3.97,5.57,5.97,0
229000,planta 1,exterior,0,35.0,1,1,Casco Histórico de Barajas,barajas,0.0,6.67,6.87,4.04,6.52,7.45,0
652000,planta 1,exterior,3,114.0,1,1,Peñagrande,fuencarral,1.0,5.95,5.62,5.3,5.14,6.19,0
2600000,planta 5,exterior,4,214.0,1,0,Almagro,chamberi,0.0,8.4,9.47,5.43,5.19,10.11,0
850000,planta 1,exterior,4,151.0,1,1,Peñagrande,fuencarral,1.0,5.95,5.62,5.3,5.14,6.19,0
1490000,planta 2,exterior,3,145.0,1,0,Trafalgar,chamberi,0.0,6.52,11.82,5.6,5.37,9.91,0
650000,planta 4,exterior,2,87.0,1,1,Trafalgar,chamberi,0.0,6.52,11.82,5.6,5.37,9.91,0
523000,bajo,exterior,2,98.0,1,1,Peñagrande,fuencarral,1.0,5.95,5.62,5.3,5.14,6.19,0
1401000,planta 3,exterior,5,222.0,1,1,Peñagrande,fuencarral,1.0,5.95,5.62,5.3,5.14,6.19,0
3860000,planta 2,exterior,5,410.0,1,1,Recoletos,salamanca,0.0,8.15,22.48,4.55,5.59,6.19,0
3250000,planta 13,exterior,5,340.0,1,1,El Viso,chamartin,0.0,7.5,5.25,5.08,4.59,7.35,0
980000,planta 1,exterior,3,145.0,1,1,Valdemarín,moncloa,0.0,8.53,4.84,5.75,5.22,7.22,0
1985000,planta 7,exterior,3,245.0,1,1,Lista,salamanca,0.0,5.91,12.09,6.82,5.67,5.71,0
1380000,planta 1,exterior,2,133.0,1,1,Goya,salamanca,1.0,8.01,21.75,6.81,5.42,5.63,0
